City,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,Sea Level Pressurein,State,TemperatureF,Time,TimeCDT,TimeCST,TimeEST,TimeMST,TimePDT,TimePST,Unnamed: 0.1,Unnamed: 0.1.1,VisibilityMPH,VisibilityMi,Wind Direction,Wind SpeedMPH,WindDirDegrees,Zip
Atlanta,Fog,1970-01-01 05:00:00,30.9,Fog,-,89.0,0.01,30.08,,Georgia,34.0,,,,12:00 AM,,,,,,5.0,,WSW,6.9,240.0,30301.0
Atlanta,Fog,1970-01-01 06:00:00,30.9,Fog,-,89.0,,30.04,,Georgia,34.0,,,,1:00 AM,,,,,,5.0,,West,8.1,270.0,30301.0
Atlanta,Fog,1970-01-01 07:00:00,30.9,Fog,-,89.0,,30.04,,Georgia,34.0,,,,2:00 AM,,,,,,5.0,,West,8.1,270.0,30301.0
Atlanta,Fog,1970-01-01 08:00:00,30.9,Fog,-,89.0,,30.04,,Georgia,34.0,,,,3:00 AM,,,,,,6.0,,West,6.9,280.0,30301.0
Atlanta,Fog,1970-01-01 09:00:00,30.9,Fog,-,89.0,,30.04,,Georgia,34.0,,,,4:00 AM,,,,,,6.0,,WSW,6.9,240.0,30301.0
Atlanta,Unknown,1970-01-01 10:00:00,30.9,,-,89.0,,30.04,,Georgia,34.0,,,,5:00 AM,,,,,,7.0,,West,9.2,280.0,30301.0
Atlanta,Unknown,1970-01-01 11:00:00,30.0,,-,89.0,,30.04,,Georgia,33.1,,,,6:00 AM,,,,,,7.0,,NW,9.2,310.0,30301.0
Atlanta,Unknown,1970-01-01 12:00:00,28.9,,-,82.0,,30.08,,Georgia,34.0,,,,7:00 AM,,,,,,8.0,,WNW,10.4,290.0,30301.0
Atlanta,Fog,1970-01-01 13:00:00,28.0,Fog,-,76.0,,30.09,,Georgia,35.1,,,,8:00 AM,,,,,,5.0,,WNW,13.8,290.0,30301.0
Atlanta,Smoke,1970-01-01 14:00:00,28.9,,-,78.0,,30.11,,Georgia,35.1,,,,9:00 AM,,,,,,4.0,,WNW,11.5,300.0,30301.0
Atlanta,Unknown,1970-01-01 15:00:00,28.0,,-,73.0,,30.13,,Georgia,36.0,,,,10:00 AM,,,,,,8.0,,WNW,11.5,290.0,30301.0
Atlanta,Unknown,1970-01-01 16:00:00,27.0,,-,70.0,,30.12,,Georgia,36.0,,,,11:00 AM,,,,,,8.0,,WNW,9.2,300.0,30301.0
Atlanta,Unknown,1970-01-01 17:00:00,27.0,,-,67.0,,30.09,,Georgia,37.0,,,,12:00 PM,,,,,,8.0,,WNW,10.4,300.0,30301.0
Atlanta,Unknown,1970-01-01 18:00:00,26.1,,-,65.0,,30.07,,Georgia,37.0,,,,1:00 PM,,,,,,8.0,,WNW,11.5,300.0,30301.0
Atlanta,Unknown,1970-01-01 19:00:00,25.0,,-,62.0,,30.08,,Georgia,37.0,,,,2:00 PM,,,,,,8.0,,WNW,10.4,300.0,30301.0
Atlanta,Unknown,1970-01-01 20:00:00,25.0,,-,62.0,,30.08,,Georgia,37.0,,,,3:00 PM,,,,,,8.0,,NW,11.5,310.0,30301.0
Atlanta,Unknown,1970-01-01 21:00:00,26.1,,-,58.0,,30.08,,Georgia,39.9,,,,4:00 PM,,,,,,8.0,,WNW,11.5,300.0,30301.0
Atlanta,Unknown,1970-01-01 22:00:00,25.0,,-,62.0,,30.11,,Georgia,37.0,,,,5:00 PM,,,,,,8.0,,NNW,15.0,330.0,30301.0
Atlanta,Unknown,1970-01-01 23:00:00,23.0,,-,59.0,,30.11,,Georgia,36.0,,,,6:00 PM,,,,,,8.0,,NW,11.5,320.0,30301.0
Atlanta,Unknown,1970-01-02 00:00:00,21.9,,-,61.0,,30.11,,Georgia,34.0,,,,7:00 PM,,,,,,8.0,,NW,5.8,320.0,30301.0
Atlanta,Unknown,1970-01-02 01:00:00,21.9,,-,66.0,,30.12,,Georgia,32.0,,,,8:00 PM,,,,,,8.0,,NW,5.8,320.0,30301.0
Atlanta,Unknown,1970-01-02 02:00:00,23.0,,-,72.0,,30.13,,Georgia,30.9,,,,9:00 PM,,,,,,8.0,,West,8.1,270.0,30301.0
Atlanta,Unknown,1970-01-02 03:00:00,19.9,,-,75.0,,30.13,,Georgia,27.0,,,,10:00 PM,,,,,,8.0,,West,9.2,280.0,30301.0
Atlanta,Clear,1970-01-02 04:00:00,21.9,,-,78.0,,30.14,,Georgia,28.0,,,,11:00 PM,,,,,,8.0,,West,8.1,280.0,30301.0
Atlanta,Unknown,1970-01-03 05:00:00,24.1,,-,57.0,,30.04,,Georgia,37.9,,,,12:00 AM,,,,,,10.0,,WNW,6.9,290.0,30301.0
Atlanta,Unknown,1970-01-03 06:00:00,25.0,,-,67.0,,30.04,,Georgia,35.1,,,,1:00 AM,,,,,,10.0,,West,6.9,280.0,30301.0
Atlanta,Unknown,1970-01-03 07:00:00,21.9,,-,64.0,,30.03,,Georgia,33.1,,,,2:00 AM,,,,,,10.0,,WNW,6.9,290.0,30301.0
Atlanta,Unknown,1970-01-03 08:00:00,23.0,,-,66.0,,30.04,,Georgia,33.1,,,,3:00 AM,,,,,,10.0,,WNW,9.2,290.0,30301.0
Atlanta,Unknown,1970-01-03 09:00:00,24.1,,-,67.0,,30.03,,Georgia,34.0,,,,4:00 AM,,,,,,10.0,,WNW,6.9,290.0,30301.0
Atlanta,Unknown,1970-01-03 10:00:00,26.1,,-,67.0,,30.01,,Georgia,36.0,,,,5:00 AM,,,,,,10.0,,NW,6.9,310.0,30301.0
Atlanta,Unknown,1970-01-03 11:00:00,28.9,,-,78.0,,30.01,,Georgia,35.1,,,,6:00 AM,,,,,,10.0,,WNW,10.4,300.0,30301.0
Atlanta,Unknown,1970-01-03 12:00:00,28.0,,-,76.0,,30.03,,Georgia,35.1,,,,7:00 AM,,,,,,10.0,,NW,15.0,310.0,30301.0
Atlanta,Unknown,1970-01-03 13:00:00,24.1,,-,67.0,,30.05,,Georgia,34.0,,,,8:00 AM,,,,,,10.0,,NNW,11.5,330.0,30301.0
Atlanta,Unknown,1970-01-03 14:00:00,19.9,,-,64.0,,30.08,,Georgia,30.9,,,,9:00 AM,,,,,,10.0,,NW,13.8,320.0,30301.0
Atlanta,Unknown,1970-01-03 15:00:00,18.0,,-,56.0,,30.09,,Georgia,32.0,,,,10:00 AM,,,,,,10.0,,NNW,15.0,340.0,30301.0
Atlanta,Unknown,1970-01-03 16:00:00,17.1,,-,50.0,,30.07,,Georgia,34.0,,,,11:00 AM,,,,,,15.0,,NW,11.5,320.0,30301.0
Atlanta,Unknown,1970-01-03 17:00:00,16.0,,-,48.0,,30.06,,Georgia,34.0,,,,12:00 PM,,,,,,15.0,,NW,13.8,320.0,30301.0
Atlanta,Unknown,1970-01-03 18:00:00,16.0,,-,44.0,,30.05,,Georgia,36.0,,,,1:00 PM,,,,,,15.0,,WNW,15.0,300.0,30301.0
Atlanta,Unknown,1970-01-03 19:00:00,14.0,,-,35.0,,30.01,,Georgia,39.9,,,,2:00 PM,,,,,,15.0,,WNW,11.5,290.0,30301.0
Atlanta,Unknown,1970-01-03 20:00:00,14.0,,-,36.0,,30.01,,Georgia,39.0,,,,3:00 PM,,,,,,15.0,,NW,11.5,320.0,30301.0
Atlanta,Unknown,1970-01-03 21:00:00,12.0,,-,32.0,,30.01,,Georgia,39.9,,,,4:00 PM,,,,,,15.0,,North,11.5,360.0,30301.0
Atlanta,Unknown,1970-01-03 22:00:00,12.0,,-,33.0,,30.03,,Georgia,39.0,,,,5:00 PM,,,,,,15.0,,NW,6.9,320.0,30301.0
Atlanta,Clear,1970-01-03 23:00:00,12.9,,-,40.0,,30.04,,Georgia,35.1,,,,6:00 PM,,,,,,15.0,,NW,9.2,310.0,30301.0
