,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeEDT,TimeEST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Clear,2016-01-01 05:53:00,39.0,,-,86,N/A,30.18,43.0,,12:53 AM,10.0,WNW,9.2,290,Atlanta,Georgia,30301
1,Clear,2016-01-01 06:53:00,37.9,,-,85,N/A,30.17,42.1,,1:53 AM,10.0,WNW,11.5,300,Atlanta,Georgia,30301
2,Clear,2016-01-01 07:53:00,37.0,,-,82,N/A,30.16,42.1,,2:53 AM,10.0,WNW,8.1,290,Atlanta,Georgia,30301
3,Clear,2016-01-01 08:53:00,37.0,,-,86,N/A,30.16,41.0,,3:53 AM,10.0,NW,8.1,320,Atlanta,Georgia,30301
4,Clear,2016-01-01 09:53:00,36.0,,-,82,N/A,30.17,41.0,,4:53 AM,10.0,WNW,11.5,300,Atlanta,Georgia,30301
5,Clear,2016-01-01 10:53:00,36.0,,-,82,N/A,30.18,41.0,,5:53 AM,10.0,NW,10.4,310,Atlanta,Georgia,30301
6,Clear,2016-01-01 11:53:00,36.0,,-,86,N/A,30.19,39.9,,6:53 AM,10.0,NW,6.9,310,Atlanta,Georgia,30301
7,Clear,2016-01-01 12:53:00,35.1,,-,86,N/A,30.23,39.0,,7:53 AM,9.0,NW,9.2,310,Atlanta,Georgia,30301
8,Clear,2016-01-01 13:53:00,35.1,,-,83,N/A,30.24,39.9,,8:53 AM,9.0,NW,9.2,320,Atlanta,Georgia,30301
9,Clear,2016-01-01 14:53:00,35.1,,-,76,N/A,30.25,42.1,,9:53 AM,10.0,WNW,9.2,300,Atlanta,Georgia,30301
10,Clear,2016-01-01 15:53:00,36.0,,-,66,N/A,30.23,46.9,,10:53 AM,10.0,NNW,8.1,340,Atlanta,Georgia,30301
11,Clear,2016-01-01 16:53:00,36.0,,-,66,N/A,30.24,46.9,,11:53 AM,10.0,NW,10.4,310,Atlanta,Georgia,30301
12,Scattered Clouds,2016-01-01 17:53:00,36.0,,-,68,N/A,30.22,46.0,,12:53 PM,10.0,NW,10.4,310,Atlanta,Georgia,30301
13,Clear,2016-01-01 18:53:00,36.0,,-,66,N/A,30.20,46.9,,1:53 PM,10.0,WNW,8.1,300,Atlanta,Georgia,30301
14,Clear,2016-01-01 19:53:00,35.1,,-,66,N/A,30.20,46.0,,2:53 PM,10.0,NW,12.7,310,Atlanta,Georgia,30301
15,Clear,2016-01-01 20:53:00,35.1,,-,66,N/A,30.21,46.0,,3:53 PM,10.0,NW,10.4,310,Atlanta,Georgia,30301
16,Partly Cloudy,2016-01-01 21:53:00,35.1,,-,68,N/A,30.22,45.0,,4:53 PM,10.0,NW,8.1,320,Atlanta,Georgia,30301
17,Clear,2016-01-01 22:53:00,33.1,,-,65,N/A,30.24,44.1,,5:53 PM,10.0,WNW,10.4,300,Atlanta,Georgia,30301
18,Clear,2016-01-01 23:53:00,32.0,,-,65,N/A,30.26,43.0,,6:53 PM,10.0,NW,13.8,310,Atlanta,Georgia,30301
19,Clear,2016-01-02 00:53:00,30.0,,-,62,N/A,30.27,42.1,,7:53 PM,10.0,NW,11.5,310,Atlanta,Georgia,30301
20,Clear,2016-01-02 01:53:00,30.0,,-,65,N/A,30.27,41.0,,8:53 PM,10.0,NW,12.7,310,Atlanta,Georgia,30301
21,Clear,2016-01-02 02:53:00,30.0,,-,68,N/A,30.29,39.9,,9:53 PM,10.0,NW,11.5,310,Atlanta,Georgia,30301
22,Clear,2016-01-02 03:53:00,30.0,,-,70,N/A,30.29,39.0,,10:53 PM,10.0,NW,11.5,310,Atlanta,Georgia,30301
23,Clear,2016-01-02 04:53:00,28.9,,-,67,N/A,30.30,39.0,,11:53 PM,10.0,NW,11.5,310,Atlanta,Georgia,30301
0,Clear,2016-01-02 05:53:00,28.9,,-,70,N/A,30.29,37.9,,12:53 AM,10.0,NW,10.4,320,Atlanta,Georgia,30301
1,Clear,2016-01-02 06:53:00,28.0,,-,68,N/A,30.28,37.9,,1:53 AM,10.0,NW,9.2,310,Atlanta,Georgia,30301
2,Clear,2016-01-02 07:53:00,27.0,,-,70,N/A,30.27,36.0,,2:53 AM,10.0,NW,8.1,310,Atlanta,Georgia,30301
3,Clear,2016-01-02 08:53:00,27.0,,-,70,N/A,30.27,36.0,,3:53 AM,10.0,NW,9.2,310,Atlanta,Georgia,30301
4,Clear,2016-01-02 09:53:00,27.0,,-,70,N/A,30.28,36.0,,4:53 AM,10.0,NW,10.4,320,Atlanta,Georgia,30301
5,Clear,2016-01-02 10:53:00,27.0,,-,70,N/A,30.28,36.0,,5:53 AM,10.0,NW,11.5,320,Atlanta,Georgia,30301
6,Clear,2016-01-02 11:53:00,27.0,,-,72,N/A,30.27,35.1,,6:53 AM,10.0,NW,8.1,320,Atlanta,Georgia,30301
7,Clear,2016-01-02 12:53:00,26.1,,-,70,N/A,30.28,35.1,,7:53 AM,10.0,NW,9.2,320,Atlanta,Georgia,30301
8,Clear,2016-01-02 13:53:00,27.0,,-,70,N/A,30.30,36.0,,8:53 AM,10.0,WNW,9.2,300,Atlanta,Georgia,30301
9,Clear,2016-01-02 14:53:00,27.0,,-,65,N/A,30.33,37.9,,9:53 AM,10.0,NW,5.8,310,Atlanta,Georgia,30301
10,Clear,2016-01-02 15:53:00,26.1,,-,58,N/A,30.32,39.9,,10:53 AM,10.0,NNW,6.9,340,Atlanta,Georgia,30301
11,Clear,2016-01-02 16:53:00,27.0,,-,53,N/A,30.29,43.0,,11:53 AM,10.0,Variable,5.8,0,Atlanta,Georgia,30301
12,Clear,2016-01-02 17:53:00,26.1,,-,48,N/A,30.25,45.0,,12:53 PM,10.0,NW,5.8,320,Atlanta,Georgia,30301
13,Clear,2016-01-02 18:53:00,26.1,,-,42,N/A,30.23,48.0,,1:53 PM,10.0,WNW,4.6,300,Atlanta,Georgia,30301
14,Clear,2016-01-02 19:53:00,27.0,,-,47,N/A,30.21,46.0,,2:53 PM,10.0,West,4.6,260,Atlanta,Georgia,30301
15,Clear,2016-01-02 20:53:00,27.0,,-,47,N/A,30.20,46.0,,3:53 PM,10.0,West,8.1,270,Atlanta,Georgia,30301
16,Clear,2016-01-02 21:53:00,27.0,,-,46,N/A,30.19,46.9,,4:53 PM,10.0,WNW,6.9,290,Atlanta,Georgia,30301
17,Clear,2016-01-02 22:53:00,28.0,,-,53,N/A,30.20,44.1,,5:53 PM,10.0,West,5.8,280,Atlanta,Georgia,30301
18,Clear,2016-01-02 23:53:00,28.0,,-,56,N/A,30.20,43.0,,6:53 PM,10.0,NW,4.6,310,Atlanta,Georgia,30301
19,Clear,2016-01-03 00:53:00,28.9,,-,60,N/A,30.19,42.1,,7:53 PM,10.0,West,4.6,270,Atlanta,Georgia,30301
20,Clear,2016-01-03 01:53:00,30.0,,-,65,N/A,30.20,41.0,,8:53 PM,10.0,WNW,6.9,300,Atlanta,Georgia,30301
