,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeMDT,TimeMST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Clear,2016-01-01 07:53:00,3.9,,-,76,N/A,30.73,10.0,,12:53 AM,10.0,SE,5.8,140,Boise,Idaho,83701
1,Mostly Cloudy,2016-01-01 08:11:00,3.2,,-,79,N/A,30.59,8.6,,1:11 AM,10.0,SE,4.6,140,Boise,Idaho,83701
2,Mostly Cloudy,2016-01-01 08:53:00,5.0,,-,77,N/A,30.72,10.9,,1:53 AM,10.0,SE,6.9,130,Boise,Idaho,83701
3,Scattered Clouds,2016-01-01 09:05:00,5.0,,-,73,N/A,30.59,12.2,,2:05 AM,10.0,SE,8.1,130,Boise,Idaho,83701
4,Mostly Cloudy,2016-01-01 09:31:00,6.8,,-,79,N/A,30.58,12.2,,2:31 AM,10.0,SE,6.9,130,Boise,Idaho,83701
5,Scattered Clouds,2016-01-01 09:53:00,6.1,,-,77,N/A,30.71,12.0,,2:53 AM,10.0,SE,5.8,130,Boise,Idaho,83701
6,Clear,2016-01-01 10:53:00,3.0,,-,77,N/A,30.71,9.0,,3:53 AM,10.0,SE,10.4,130,Boise,Idaho,83701
7,Clear,2016-01-01 11:53:00,3.0,,-,80,N/A,30.70,8.1,,4:53 AM,10.0,ESE,8.1,120,Boise,Idaho,83701
8,Clear,2016-01-01 12:53:00,3.0,,-,77,N/A,30.69,9.0,,5:53 AM,10.0,ESE,6.9,120,Boise,Idaho,83701
9,Clear,2016-01-01 13:53:00,1.0,,-,77,N/A,30.70,7.0,,6:53 AM,10.0,SE,4.6,140,Boise,Idaho,83701
10,Clear,2016-01-01 14:53:00,3.0,,-,84,N/A,30.71,7.0,,7:53 AM,10.0,Calm,Calm,0,Boise,Idaho,83701
11,Clear,2016-01-01 15:53:00,1.0,,-,73,N/A,30.71,8.1,,8:53 AM,10.0,SE,5.8,140,Boise,Idaho,83701
12,Partly Cloudy,2016-01-01 16:53:00,1.9,,-,70,N/A,30.71,10.0,,9:53 AM,10.0,SE,9.2,130,Boise,Idaho,83701
13,Clear,2016-01-01 17:53:00,3.0,,-,67,N/A,30.70,12.0,,10:53 AM,10.0,ESE,9.2,120,Boise,Idaho,83701
14,Clear,2016-01-01 18:53:00,5.0,,-,67,N/A,30.68,14.0,,11:53 AM,10.0,ESE,5.8,110,Boise,Idaho,83701
15,Clear,2016-01-01 19:53:00,5.0,,-,62,N/A,30.64,16.0,,12:53 PM,10.0,SE,4.6,130,Boise,Idaho,83701
16,Clear,2016-01-01 20:53:00,6.1,,-,65,N/A,30.60,16.0,,1:53 PM,10.0,South,4.6,180,Boise,Idaho,83701
17,Clear,2016-01-01 21:53:00,6.1,,-,62,N/A,30.58,17.1,,2:53 PM,10.0,SSW,6.9,210,Boise,Idaho,83701
18,Clear,2016-01-01 22:53:00,5.0,,-,62,N/A,30.58,16.0,,3:53 PM,10.0,SSW,4.6,200,Boise,Idaho,83701
19,Clear,2016-01-01 23:53:00,5.0,,-,64,N/A,30.58,15.1,,4:53 PM,10.0,Calm,Calm,0,Boise,Idaho,83701
20,Clear,2016-01-02 00:53:00,3.0,,-,65,N/A,30.59,12.9,,5:53 PM,10.0,SSE,4.6,160,Boise,Idaho,83701
21,Clear,2016-01-02 01:53:00,1.9,,-,73,N/A,30.59,9.0,,6:53 PM,10.0,SSE,3.5,160,Boise,Idaho,83701
22,Clear,2016-01-02 02:53:00,-0.0,,-,76,N/A,30.58,6.1,,7:53 PM,10.0,SE,3.5,140,Boise,Idaho,83701
23,Clear,2016-01-02 03:53:00,1.0,,-,73,N/A,30.57,8.1,,8:53 PM,10.0,SE,3.5,130,Boise,Idaho,83701
24,Clear,2016-01-02 04:53:00,1.9,,-,80,N/A,30.55,7.0,,9:53 PM,10.0,SE,4.6,130,Boise,Idaho,83701
25,Clear,2016-01-02 05:53:00,1.0,,-,80,N/A,30.55,6.1,,10:53 PM,10.0,Calm,Calm,0,Boise,Idaho,83701
26,Clear,2016-01-02 06:53:00,1.0,,-,84,N/A,30.55,5.0,,11:53 PM,10.0,ESE,3.5,110,Boise,Idaho,83701
0,Clear,2016-01-02 07:53:00,1.0,,-,84,N/A,30.54,5.0,,12:53 AM,10.0,Calm,Calm,0,Boise,Idaho,83701
1,Clear,2016-01-02 08:53:00,1.0,,-,80,N/A,30.53,6.1,,1:53 AM,10.0,SE,3.5,130,Boise,Idaho,83701
2,Clear,2016-01-02 09:53:00,1.0,,-,80,N/A,30.54,6.1,,2:53 AM,10.0,SE,5.8,130,Boise,Idaho,83701
3,Clear,2016-01-02 10:53:00,1.0,,-,77,N/A,30.52,7.0,,3:53 AM,10.0,SSE,9.2,150,Boise,Idaho,83701
4,Clear,2016-01-02 11:53:00,-0.0,,-,80,N/A,30.53,5.0,,4:53 AM,10.0,Calm,Calm,0,Boise,Idaho,83701
5,Clear,2016-01-02 12:53:00,1.0,,-,80,N/A,30.52,6.1,,5:53 AM,10.0,SE,8.1,130,Boise,Idaho,83701
6,Clear,2016-01-02 13:53:00,1.0,,-,80,N/A,30.53,6.1,,6:53 AM,10.0,ESE,4.6,120,Boise,Idaho,83701
7,Partly Cloudy,2016-01-02 14:53:00,-0.0,,-,84,N/A,30.55,3.9,,7:53 AM,10.0,Calm,Calm,0,Boise,Idaho,83701
8,Clear,2016-01-02 15:53:00,1.0,,-,77,N/A,30.54,7.0,,8:53 AM,10.0,ESE,5.8,120,Boise,Idaho,83701
9,Clear,2016-01-02 16:53:00,3.9,,-,76,N/A,30.54,10.0,,9:53 AM,10.0,Calm,Calm,0,Boise,Idaho,83701
10,Clear,2016-01-02 17:53:00,3.9,,-,70,N/A,30.54,12.0,,10:53 AM,10.0,Calm,Calm,0,Boise,Idaho,83701
11,Clear,2016-01-02 18:53:00,3.9,,-,64,N/A,30.52,14.0,,11:53 AM,10.0,SSW,3.5,200,Boise,Idaho,83701
12,Clear,2016-01-02 19:53:00,3.9,,-,61,N/A,30.50,15.1,,12:53 PM,10.0,South,8.1,170,Boise,Idaho,83701
13,Clear,2016-01-02 20:53:00,5.0,,-,59,N/A,30.45,17.1,,1:53 PM,10.0,SSE,6.9,150,Boise,Idaho,83701
14,Clear,2016-01-02 21:53:00,5.0,,-,57,N/A,30.44,18.0,,2:53 PM,10.0,SE,10.4,140,Boise,Idaho,83701
15,Clear,2016-01-02 22:53:00,6.1,,-,57,N/A,30.42,19.0,,3:53 PM,10.0,SE,5.8,130,Boise,Idaho,83701
16,Clear,2016-01-02 23:53:00,6.1,,-,60,N/A,30.42,18.0,,4:53 PM,10.0,SE,6.9,130,Boise,Idaho,83701
17,Clear,2016-01-03 00:53:00,6.1,,-,65,N/A,30.41,16.0,,5:53 PM,10.0,ESE,5.8,120,Boise,Idaho,83701
18,Clear,2016-01-03 01:53:00,6.1,,-,68,N/A,30.40,15.1,,6:53 PM,10.0,SSE,4.6,150,Boise,Idaho,83701
19,Clear,2016-01-03 02:53:00,7.0,,-,77,N/A,30.40,12.9,,7:53 PM,10.0,WNW,4.6,300,Boise,Idaho,83701
20,Overcast,2016-01-03 03:53:00,8.1,,-,84,N/A,30.40,12.0,,8:53 PM,6.0,NW,3.5,320,Boise,Idaho,83701
21,Mostly Cloudy,2016-01-03 04:53:00,8.1,,-,84,N/A,30.39,12.0,,9:53 PM,6.0,Calm,Calm,0,Boise,Idaho,83701
22,Haze,2016-01-03 05:53:00,9.0,,-,80,N/A,30.39,14.0,,10:53 PM,6.0,NNE,3.5,20,Boise,Idaho,83701
23,Haze,2016-01-03 06:53:00,10.0,,-,80,N/A,30.37,15.1,,11:53 PM,6.0,Calm,Calm,0,Boise,Idaho,83701
0,Haze,2016-01-03 07:53:00,10.9,,-,81,N/A,30.34,16.0,,12:53 AM,6.0,Calm,Calm,0,Boise,Idaho,83701
1,Haze,2016-01-03 08:53:00,10.0,,-,80,N/A,30.33,15.1,,1:53 AM,6.0,West,8.1,280,Boise,Idaho,83701
2,Overcast,2016-01-03 09:53:00,10.0,,-,88,N/A,30.33,12.9,,2:53 AM,6.0,Calm,Calm,0,Boise,Idaho,83701
3,Overcast,2016-01-03 10:53:00,10.0,,-,80,N/A,30.33,15.1,,3:53 AM,7.0,West,3.5,270,Boise,Idaho,83701
4,Overcast,2016-01-03 11:53:00,10.0,,-,84,N/A,30.32,14.0,,4:53 AM,7.0,NW,3.5,310,Boise,Idaho,83701
5,Overcast,2016-01-03 12:53:00,10.0,,-,80,N/A,30.31,15.1,,5:53 AM,7.0,Calm,Calm,0,Boise,Idaho,83701
6,Overcast,2016-01-03 13:53:00,10.9,,-,77,N/A,30.30,17.1,,6:53 AM,7.0,Calm,Calm,0,Boise,Idaho,83701
7,Overcast,2016-01-03 14:53:00,10.9,,-,81,N/A,30.29,16.0,,7:53 AM,8.0,Calm,Calm,0,Boise,Idaho,83701
8,Overcast,2016-01-03 15:53:00,12.0,,-,81,N/A,30.30,17.1,,8:53 AM,7.0,Calm,Calm,0,Boise,Idaho,83701
9,Overcast,2016-01-03 16:53:00,12.9,,-,81,N/A,30.30,18.0,,9:53 AM,7.0,WSW,5.8,250,Boise,Idaho,83701
10,Mostly Cloudy,2016-01-03 17:53:00,14.0,,-,78,N/A,30.31,19.9,,10:53 AM,7.0,NW,3.5,320,Boise,Idaho,83701
11,Overcast,2016-01-03 18:53:00,14.0,,-,72,N/A,30.29,21.9,,11:53 AM,7.0,Calm,Calm,0,Boise,Idaho,83701
12,Partly Cloudy,2016-01-03 19:53:00,16.0,,-,66,N/A,30.25,26.1,,12:53 PM,8.0,Calm,Calm,0,Boise,Idaho,83701
13,Clear,2016-01-03 20:53:00,18.0,,-,66,N/A,30.22,28.0,,1:53 PM,8.0,WNW,4.6,290,Boise,Idaho,83701
14,Partly Cloudy,2016-01-03 21:53:00,18.0,,-,66,N/A,30.19,28.0,,2:53 PM,9.0,WNW,4.6,290,Boise,Idaho,83701
15,Scattered Clouds,2016-01-03 22:53:00,18.0,,-,69,N/A,30.19,27.0,,3:53 PM,9.0,WNW,3.5,300,Boise,Idaho,83701
16,Partly Cloudy,2016-01-03 23:53:00,18.0,,-,71,N/A,30.20,26.1,,4:53 PM,9.0,WNW,3.5,300,Boise,Idaho,83701
17,Overcast,2016-01-04 00:53:00,18.0,,-,71,N/A,30.19,26.1,,5:53 PM,10.0,Calm,Calm,0,Boise,Idaho,83701
18,Overcast,2016-01-04 01:53:00,19.9,,-,81,N/A,30.19,25.0,,6:53 PM,9.0,Calm,Calm,0,Boise,Idaho,83701
19,Overcast,2016-01-04 02:53:00,21.0,,-,75,N/A,30.17,28.0,,7:53 PM,9.0,ESE,4.6,110,Boise,Idaho,83701
20,Overcast,2016-01-04 03:53:00,25.0,,-,72,N/A,30.12,33.1,,8:53 PM,10.0,SSE,10.4,160,Boise,Idaho,83701
21,Overcast,2016-01-04 04:53:00,26.1,,-,73,N/A,30.11,34.0,,9:53 PM,10.0,SSE,8.1,160,Boise,Idaho,83701
22,Overcast,2016-01-04 05:53:00,24.1,,-,70,N/A,30.09,33.1,,10:53 PM,10.0,South,9.2,170,Boise,Idaho,83701
23,Overcast,2016-01-04 06:53:00,24.1,,-,76,N/A,30.08,30.9,,11:53 PM,10.0,SE,9.2,140,Boise,Idaho,83701
