,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeEDT,TimeEST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Overcast,2016-01-01 05:54:00,26.1,,20.7,60,N/A,29.98,39.0,,12:54 AM,10.0,WSW,11.5,250,Boston,Massachusetts,2101
1,Overcast,2016-01-01 06:54:00,26.1,,21.9,60,N/A,29.98,39.0,,1:54 AM,10.0,West,15.0,260,Boston,Massachusetts,2101
2,Overcast,2016-01-01 07:54:00,27.0,,-,65,N/A,29.98,37.9,,2:54 AM,10.0,WSW,6.9,240,Boston,Massachusetts,2101
3,Overcast,2016-01-01 08:54:00,27.0,,-,67,N/A,29.97,37.0,,3:54 AM,10.0,SW,9.2,230,Boston,Massachusetts,2101
4,Overcast,2016-01-01 09:54:00,26.1,,17.3,62,N/A,29.96,37.9,,4:54 AM,10.0,WSW,9.2,250,Boston,Massachusetts,2101
5,Overcast,2016-01-01 10:54:00,26.1,,-,65,N/A,29.97,37.0,,5:54 AM,10.0,SW,10.4,230,Boston,Massachusetts,2101
6,Overcast,2016-01-01 11:54:00,26.1,,-,67,N/A,29.96,36.0,,6:54 AM,10.0,WSW,11.5,240,Boston,Massachusetts,2101
7,Mostly Cloudy,2016-01-01 12:54:00,25.0,,-,64,N/A,29.97,36.0,,7:54 AM,10.0,WSW,9.2,250,Boston,Massachusetts,2101
8,Overcast,2016-01-01 13:54:00,26.1,,20.7,62,N/A,29.98,37.9,,8:54 AM,10.0,WSW,12.7,250,Boston,Massachusetts,2101
9,Overcast,2016-01-01 14:54:00,25.0,,19.6,57,N/A,29.98,39.0,,9:54 AM,10.0,WSW,12.7,250,Boston,Massachusetts,2101
10,Mostly Cloudy,2016-01-01 15:54:00,25.0,,-,55,N/A,29.95,39.9,,10:54 AM,10.0,West,10.4,280,Boston,Massachusetts,2101
11,Scattered Clouds,2016-01-01 16:54:00,25.0,,24.2,53,N/A,29.92,41.0,,11:54 AM,10.0,West,15.0,260,Boston,Massachusetts,2101
