,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeCDT,TimeCST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Mostly Cloudy,2016-01-01 06:53:00,15.1,,-,66,N/A,30.27,25.0,,12:53 AM,9.0,WSW,13.8,250,Chicago,Illinois,60290
1,Scattered Clouds,2016-01-01 07:11:00,12.9,,28.8,62,N/A,30.22,24.1,,1:11 AM,9.0,West,18.4,260,Chicago,Illinois,60290
2,Partly Cloudy,2016-01-01 07:53:00,12.9,,-,65,N/A,30.25,23.0,,1:53 AM,9.0,WSW,18.4,250,Chicago,Illinois,60290
3,Partly Cloudy,2016-01-01 08:53:00,12.0,,-,66,N/A,30.25,21.9,,2:53 AM,9.0,West,18.4,260,Chicago,Illinois,60290
4,Scattered Clouds,2016-01-01 09:53:00,10.9,,-,65,N/A,30.25,21.0,,3:53 AM,9.0,West,12.7,260,Chicago,Illinois,60290
5,Mostly Cloudy,2016-01-01 10:17:00,10.9,,-,68,N/A,30.20,19.9,,4:17 AM,9.0,West,13.8,270,Chicago,Illinois,60290
6,Light Snow,2016-01-01 10:53:00,12.0,Snow,-,71,0.00,30.25,19.9,,4:53 AM,8.0,West,15.0,270,Chicago,Illinois,60290
7,Light Snow,2016-01-01 11:53:00,12.9,Snow,-,71,0.00,30.25,21.0,,5:53 AM,6.0,West,16.1,260,Chicago,Illinois,60290
8,Overcast,2016-01-01 12:53:00,14.0,,-,68,0.00,30.25,23.0,,6:53 AM,10.0,West,13.8,270,Chicago,Illinois,60290
9,Overcast,2016-01-01 13:53:00,15.1,,23.0,69,N/A,30.24,24.1,,7:53 AM,10.0,West,15.0,260,Chicago,Illinois,60290
10,Overcast,2016-01-01 14:53:00,16.0,,-,69,N/A,30.26,25.0,,8:53 AM,10.0,West,15.0,270,Chicago,Illinois,60290
11,Overcast,2016-01-01 15:53:00,16.0,,-,66,N/A,30.26,26.1,,9:53 AM,10.0,West,16.1,270,Chicago,Illinois,60290
12,Overcast,2016-01-01 16:53:00,17.1,,26.5,69,N/A,30.25,26.1,,10:53 AM,10.0,West,16.1,260,Chicago,Illinois,60290
13,Overcast,2016-01-01 17:53:00,18.0,,-,69,N/A,30.23,27.0,,11:53 AM,10.0,West,16.1,260,Chicago,Illinois,60290
14,Mostly Cloudy,2016-01-01 18:53:00,18.0,,-,69,N/A,30.20,27.0,,12:53 PM,10.0,West,17.3,260,Chicago,Illinois,60290
15,Mostly Cloudy,2016-01-01 19:53:00,19.0,,-,69,N/A,30.19,28.0,,1:53 PM,10.0,SW,18.4,230,Chicago,Illinois,60290
16,Mostly Cloudy,2016-01-01 20:53:00,19.9,,-,69,N/A,30.18,28.9,,2:53 PM,10.0,SW,16.1,230,Chicago,Illinois,60290
17,Scattered Clouds,2016-01-01 21:53:00,19.9,,-,69,N/A,30.18,28.9,,3:53 PM,10.0,SW,17.3,230,Chicago,Illinois,60290
18,Mostly Cloudy,2016-01-01 22:53:00,19.9,,-,69,N/A,30.18,28.9,,4:53 PM,10.0,SW,13.8,230,Chicago,Illinois,60290
19,Mostly Cloudy,2016-01-01 23:53:00,21.9,,-,72,N/A,30.17,30.0,,5:53 PM,10.0,SW,12.7,220,Chicago,Illinois,60290
20,Overcast,2016-01-02 00:53:00,21.9,,-,69,N/A,30.17,30.9,,6:53 PM,10.0,SW,12.7,230,Chicago,Illinois,60290
21,Scattered Clouds,2016-01-02 01:53:00,21.0,,-,67,N/A,30.16,30.9,,7:53 PM,10.0,SW,11.5,230,Chicago,Illinois,60290
22,Clear,2016-01-02 02:53:00,21.0,,-,67,N/A,30.14,30.9,,8:53 PM,10.0,SW,11.5,230,Chicago,Illinois,60290
23,Clear,2016-01-02 03:53:00,21.0,,-,67,N/A,30.15,30.9,,9:53 PM,10.0,WSW,10.4,240,Chicago,Illinois,60290
24,Clear,2016-01-02 04:53:00,19.9,,-,66,N/A,30.15,30.0,,10:53 PM,10.0,WSW,10.4,240,Chicago,Illinois,60290
25,Clear,2016-01-02 05:53:00,19.0,,-,67,N/A,30.15,28.9,,11:53 PM,10.0,West,9.2,260,Chicago,Illinois,60290
0,Clear,2016-01-02 06:53:00,18.0,,-,66,N/A,30.14,28.0,,12:53 AM,10.0,WSW,6.9,250,Chicago,Illinois,60290
1,Scattered Clouds,2016-01-02 07:53:00,18.0,,-,69,N/A,30.16,27.0,,1:53 AM,10.0,West,9.2,270,Chicago,Illinois,60290
