,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeCDT,TimeCST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Overcast,2016-01-01 06:53:00,30.9,,-,65,N/A,30.48,42.1,,12:53 AM,10.0,NNE,12.7,20,Dallas,Texas,75201
1,Overcast,2016-01-01 07:53:00,30.9,,-,67,N/A,30.50,41.0,,1:53 AM,10.0,North,5.8,360,Dallas,Texas,75201
2,Overcast,2016-01-01 08:53:00,30.9,,-,67,N/A,30.49,41.0,,2:53 AM,10.0,North,11.5,360,Dallas,Texas,75201
3,Overcast,2016-01-01 09:53:00,30.9,,-,70,N/A,30.49,39.9,,3:53 AM,10.0,North,12.7,360,Dallas,Texas,75201
4,Overcast,2016-01-01 10:53:00,28.9,,-,67,N/A,30.49,39.0,,4:53 AM,10.0,North,13.8,360,Dallas,Texas,75201
5,Overcast,2016-01-01 11:53:00,28.9,,-,70,N/A,30.51,37.9,,5:53 AM,10.0,North,9.2,10,Dallas,Texas,75201
6,Mostly Cloudy,2016-01-01 12:53:00,30.0,,-,73,N/A,30.51,37.9,,6:53 AM,10.0,North,9.2,10,Dallas,Texas,75201
7,Mostly Cloudy,2016-01-01 13:53:00,30.0,,-,73,N/A,30.54,37.9,,7:53 AM,10.0,North,8.1,10,Dallas,Texas,75201
8,Mostly Cloudy,2016-01-01 14:53:00,30.0,,-,73,N/A,30.56,37.9,,8:53 AM,9.0,NNE,10.4,20,Dallas,Texas,75201
9,Mostly Cloudy,2016-01-01 15:53:00,28.9,,-,67,N/A,30.58,39.0,,9:53 AM,10.0,North,5.8,350,Dallas,Texas,75201
10,Mostly Cloudy,2016-01-01 16:53:00,28.0,,-,58,N/A,30.57,42.1,,10:53 AM,10.0,North,10.4,10,Dallas,Texas,75201
11,Mostly Cloudy,2016-01-01 17:53:00,24.1,,-,44,N/A,30.54,45.0,,11:53 AM,10.0,North,9.2,350,Dallas,Texas,75201
12,Mostly Cloudy,2016-01-01 18:53:00,24.1,,-,42,N/A,30.50,46.0,,12:53 PM,10.0,North,11.5,360,Dallas,Texas,75201
13,Mostly Cloudy,2016-01-01 19:53:00,24.1,,-,44,N/A,30.47,45.0,,1:53 PM,10.0,NNE,11.5,30,Dallas,Texas,75201
14,Mostly Cloudy,2016-01-01 20:53:00,28.0,,-,50,N/A,30.46,46.0,,2:53 PM,10.0,North,10.4,350,Dallas,Texas,75201
15,Mostly Cloudy,2016-01-01 21:53:00,27.0,,-,46,N/A,30.47,46.9,,3:53 PM,10.0,North,9.2,360,Dallas,Texas,75201
16,Mostly Cloudy,2016-01-01 22:53:00,26.1,,-,44,N/A,30.47,46.9,,4:53 PM,10.0,North,8.1,360,Dallas,Texas,75201
17,Mostly Cloudy,2016-01-01 23:53:00,26.1,,-,48,N/A,30.48,45.0,,5:53 PM,10.0,North,4.6,360,Dallas,Texas,75201
18,Mostly Cloudy,2016-01-02 00:53:00,27.0,,-,51,N/A,30.50,44.1,,6:53 PM,10.0,North,3.5,360,Dallas,Texas,75201
19,Overcast,2016-01-02 01:53:00,28.9,,-,58,N/A,30.51,43.0,,7:53 PM,10.0,NW,3.5,310,Dallas,Texas,75201
20,Overcast,2016-01-02 02:53:00,28.9,,-,58,N/A,30.51,43.0,,8:53 PM,10.0,WNW,3.5,300,Dallas,Texas,75201
21,Mostly Cloudy,2016-01-02 03:53:00,28.0,,-,58,N/A,30.51,42.1,,9:53 PM,10.0,WNW,3.5,300,Dallas,Texas,75201
22,Scattered Clouds,2016-01-02 04:53:00,28.0,,-,65,N/A,30.51,39.0,,10:53 PM,10.0,NW,6.9,320,Dallas,Texas,75201
23,Mostly Cloudy,2016-01-02 05:53:00,28.0,,-,63,N/A,30.51,39.9,,11:53 PM,10.0,NW,6.9,320,Dallas,Texas,75201
0,Mostly Cloudy,2016-01-02 06:53:00,28.0,,-,68,N/A,30.48,37.9,,12:53 AM,10.0,NW,4.6,320,Dallas,Texas,75201
1,Overcast,2016-01-02 07:53:00,28.9,,-,67,N/A,30.48,39.0,,1:53 AM,10.0,NW,3.5,310,Dallas,Texas,75201
2,Overcast,2016-01-02 08:53:00,28.9,,-,65,N/A,30.47,39.9,,2:53 AM,10.0,NNW,3.5,330,Dallas,Texas,75201
3,Overcast,2016-01-02 09:53:00,28.9,,-,65,N/A,30.46,39.9,,3:53 AM,10.0,North,4.6,10,Dallas,Texas,75201
