,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimePDT,TimePST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Haze,2016-01-01 08:47:00,19.0,,-,32,N/A,30.08,48.0,,12:47 AM,6.0,NNE,4.6,20,Los Angeles,California,90001
1,Clear,2016-01-01 09:47:00,19.0,,-,33,N/A,30.07,46.9,,1:47 AM,10.0,Calm,Calm,0,Los Angeles,California,90001
2,Clear,2016-01-01 10:47:00,19.0,,-,36,N/A,30.07,45.0,,2:47 AM,10.0,Calm,Calm,0,Los Angeles,California,90001
3,Clear,2016-01-01 11:47:00,18.0,,-,34,N/A,30.07,45.0,,3:47 AM,10.0,NNE,3.5,20,Los Angeles,California,90001
4,Clear,2016-01-01 12:47:00,18.0,,-,34,N/A,30.08,45.0,,4:47 AM,10.0,NNE,4.6,30,Los Angeles,California,90001
5,Clear,2016-01-01 13:47:00,18.0,,-,35,N/A,30.10,44.1,,5:47 AM,10.0,NNE,3.5,30,Los Angeles,California,90001
6,Clear,2016-01-01 14:47:00,16.0,,-,32,N/A,30.12,44.1,,6:47 AM,10.0,NNE,4.6,30,Los Angeles,California,90001
7,Clear,2016-01-01 15:47:00,16.0,,-,31,N/A,30.14,45.0,,7:47 AM,10.0,NNE,3.5,30,Los Angeles,California,90001
8,Clear,2016-01-01 16:47:00,17.1,,-,27,N/A,30.15,50.0,,8:47 AM,10.0,Variable,3.5,0,Los Angeles,California,90001
9,Clear,2016-01-01 17:47:00,16.0,,-,22,N/A,30.16,54.0,,9:47 AM,10.0,Variable,5.8,0,Los Angeles,California,90001
10,Clear,2016-01-01 18:47:00,17.1,,-,20,N/A,30.15,59.0,,10:47 AM,10.0,Variable,3.5,0,Los Angeles,California,90001
11,Clear,2016-01-01 19:47:00,15.1,,-,17,N/A,30.12,61.0,,11:47 AM,10.0,East,3.5,100,Los Angeles,California,90001
12,Clear,2016-01-01 20:47:00,15.1,,-,16,N/A,30.10,63.0,,12:47 PM,10.0,Variable,4.6,0,Los Angeles,California,90001
13,Clear,2016-01-01 21:47:00,16.0,,-,16,N/A,30.08,63.0,,1:47 PM,10.0,Calm,Calm,0,Los Angeles,California,90001
14,Clear,2016-01-01 22:47:00,18.0,,-,17,N/A,30.07,64.0,,2:47 PM,10.0,Calm,Calm,0,Los Angeles,California,90001
15,Clear,2016-01-01 23:47:00,17.1,,-,17,N/A,30.06,63.0,,3:47 PM,10.0,Calm,Calm,0,Los Angeles,California,90001
16,Clear,2016-01-02 00:47:00,19.0,,-,20,N/A,30.07,60.1,,4:47 PM,10.0,Calm,Calm,0,Los Angeles,California,90001
17,Clear,2016-01-02 01:47:00,21.9,,-,25,N/A,30.08,57.9,,5:47 PM,10.0,West,4.6,280,Los Angeles,California,90001
18,Clear,2016-01-02 02:47:00,36.0,,-,51,N/A,30.09,54.0,,6:47 PM,10.0,Calm,Calm,0,Los Angeles,California,90001
19,Clear,2016-01-02 03:47:00,24.1,,-,32,N/A,30.09,53.1,,7:47 PM,10.0,Calm,Calm,0,Los Angeles,California,90001
