,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeEDT,TimeEST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Scattered Clouds,2016-01-01 05:53:00,72.0,,-,87,N/A,30.09,75.9,,12:53 AM,7.0,East,6.9,100,Miami,Florida,33010
1,Scattered Clouds,2016-01-01 06:53:00,73.0,,-,88,N/A,30.09,77.0,,1:53 AM,9.0,East,5.8,100,Miami,Florida,33010
2,Scattered Clouds,2016-01-01 07:53:00,72.0,,-,87,N/A,30.08,75.9,,2:53 AM,10.0,East,4.6,90,Miami,Florida,33010
3,Scattered Clouds,2016-01-01 08:53:00,72.0,,-,84,N/A,30.08,77.0,,3:53 AM,10.0,ESE,4.6,110,Miami,Florida,33010
4,Scattered Clouds,2016-01-01 09:53:00,71.1,,-,85,N/A,30.08,75.9,,4:53 AM,10.0,SE,3.5,130,Miami,Florida,33010
5,Light Rain,2016-01-01 10:53:00,71.1,Rain,-,85,0.00,30.09,75.9,,5:53 AM,10.0,ESE,4.6,120,Miami,Florida,33010
6,Mostly Cloudy,2016-01-01 11:53:00,72.0,,-,87,0.01,30.11,75.9,,6:53 AM,10.0,Calm,Calm,0,Miami,Florida,33010
7,Scattered Clouds,2016-01-01 12:53:00,72.0,,-,87,N/A,30.12,75.9,,7:53 AM,10.0,ESE,4.6,120,Miami,Florida,33010
8,Scattered Clouds,2016-01-01 13:53:00,72.0,,-,79,N/A,30.13,79.0,,8:53 AM,10.0,SE,6.9,130,Miami,Florida,33010
9,Scattered Clouds,2016-01-01 14:53:00,72.0,,-,71,N/A,30.14,82.0,,9:53 AM,10.0,SSE,9.2,150,Miami,Florida,33010
10,Mostly Cloudy,2016-01-01 15:02:00,71.1,,-,72,N/A,30.14,81.0,,10:02 AM,10.0,SSE,10.4,150,Miami,Florida,33010
11,Mostly Cloudy,2016-01-01 15:40:00,71.1,,-,72,N/A,30.13,81.0,,10:40 AM,10.0,SE,11.5,130,Miami,Florida,33010
12,Mostly Cloudy,2016-01-01 15:53:00,71.1,,-,72,N/A,30.13,81.0,,10:53 AM,10.0,SSE,11.5,150,Miami,Florida,33010
13,Scattered Clouds,2016-01-01 16:53:00,71.1,,18.4,67,N/A,30.11,82.9,,11:53 AM,10.0,SSE,8.1,160,Miami,Florida,33010
14,Mostly Cloudy,2016-01-01 17:53:00,70.0,,-,65,N/A,30.08,82.9,,12:53 PM,10.0,SSE,9.2,150,Miami,Florida,33010
15,Mostly Cloudy,2016-01-01 18:53:00,70.0,,16.1,65,N/A,30.06,82.9,,1:53 PM,10.0,SE,10.4,140,Miami,Florida,33010
16,Mostly Cloudy,2016-01-01 19:53:00,71.1,,-,69,N/A,30.05,82.0,,2:53 PM,10.0,SE,10.4,130,Miami,Florida,33010
17,Mostly Cloudy,2016-01-01 20:53:00,69.1,,-,65,N/A,30.05,82.0,,3:53 PM,10.0,SSE,10.4,160,Miami,Florida,33010
18,Mostly Cloudy,2016-01-01 21:53:00,71.1,,-,74,N/A,30.05,80.1,,4:53 PM,10.0,SE,8.1,140,Miami,Florida,33010
19,Mostly Cloudy,2016-01-01 22:53:00,71.1,,-,77,N/A,30.06,79.0,,5:53 PM,10.0,SE,5.8,140,Miami,Florida,33010
20,Mostly Cloudy,2016-01-01 23:53:00,72.0,,-,81,N/A,30.06,78.1,,6:53 PM,10.0,SSE,4.6,150,Miami,Florida,33010
21,Mostly Cloudy,2016-01-02 00:53:00,72.0,,-,84,N/A,30.08,77.0,,7:53 PM,10.0,Calm,Calm,0,Miami,Florida,33010
22,Mostly Cloudy,2016-01-02 01:53:00,72.0,,-,81,N/A,30.09,78.1,,8:53 PM,10.0,Variable,3.5,0,Miami,Florida,33010
23,Mostly Cloudy,2016-01-02 02:53:00,72.0,,-,87,N/A,30.10,75.9,,9:53 PM,10.0,Calm,Calm,0,Miami,Florida,33010
24,Mostly Cloudy,2016-01-02 03:53:00,72.0,,-,84,N/A,30.09,77.0,,10:53 PM,10.0,SW,3.5,220,Miami,Florida,33010
25,Mostly Cloudy,2016-01-02 04:53:00,71.1,,-,87,N/A,30.08,75.0,,11:53 PM,10.0,WSW,3.5,250,Miami,Florida,33010
0,Overcast,2016-01-02 05:53:00,71.1,,-,87,N/A,30.08,75.0,,12:53 AM,10.0,NW,3.5,310,Miami,Florida,33010
1,Mostly Cloudy,2016-01-02 06:39:00,72.0,,-,84,N/A,30.07,77.0,,1:39 AM,10.0,Variable,3.5,0,Miami,Florida,33010
2,Mostly Cloudy,2016-01-02 06:53:00,72.0,,-,90,N/A,30.07,75.0,,1:53 AM,10.0,NW,3.5,320,Miami,Florida,33010
3,Mostly Cloudy,2016-01-02 07:53:00,71.1,,-,87,N/A,30.05,75.0,,2:53 AM,10.0,Calm,Calm,0,Miami,Florida,33010
4,Overcast,2016-01-02 08:00:00,71.1,,-,91,N/A,30.05,73.9,,3:00 AM,10.0,Calm,Calm,0,Miami,Florida,33010
5,Scattered Clouds,2016-01-02 08:53:00,70.0,,-,90,N/A,30.05,73.0,,3:53 AM,10.0,NNW,3.5,330,Miami,Florida,33010
6,Clear,2016-01-02 09:53:00,69.1,,-,91,N/A,30.04,72.0,,4:53 AM,10.0,Calm,Calm,0,Miami,Florida,33010
7,Partly Cloudy,2016-01-02 10:53:00,69.1,,-,91,N/A,30.04,72.0,,5:53 AM,10.0,Calm,Calm,0,Miami,Florida,33010
8,Scattered Clouds,2016-01-02 11:53:00,69.1,,-,91,N/A,30.06,72.0,,6:53 AM,10.0,Calm,Calm,0,Miami,Florida,33010
9,Partly Cloudy,2016-01-02 12:53:00,69.1,,-,87,N/A,30.08,73.0,,7:53 AM,10.0,Calm,Calm,0,Miami,Florida,33010
10,Partly Cloudy,2016-01-02 13:53:00,70.0,,-,82,N/A,30.10,75.9,,8:53 AM,10.0,NNW,5.8,340,Miami,Florida,33010
11,Partly Cloudy,2016-01-02 14:53:00,70.0,,-,74,N/A,30.10,79.0,,9:53 AM,10.0,Calm,Calm,0,Miami,Florida,33010
12,Partly Cloudy,2016-01-02 15:53:00,69.1,,-,69,N/A,30.09,80.1,,10:53 AM,10.0,Variable,4.6,0,Miami,Florida,33010
13,Scattered Clouds,2016-01-02 16:53:00,68.0,,-,65,N/A,30.06,81.0,,11:53 AM,10.0,Calm,Calm,0,Miami,Florida,33010
14,Mostly Cloudy,2016-01-02 17:53:00,70.0,,-,67,N/A,30.04,82.0,,12:53 PM,10.0,NNW,8.1,340,Miami,Florida,33010
15,Mostly Cloudy,2016-01-02 18:53:00,68.0,,-,60,N/A,30.01,82.9,,1:53 PM,10.0,Variable,5.8,0,Miami,Florida,33010
16,Light Rain,2016-01-02 19:53:00,71.1,Rain,-,77,0.00,29.99,79.0,,2:53 PM,10.0,East,9.2,100,Miami,Florida,33010
17,Light Rain,2016-01-02 20:11:00,71.1,Rain,-,79,0.02,29.98,78.1,,3:11 PM,10.0,East,6.9,100,Miami,Florida,33010
18,Light Rain,2016-01-02 20:53:00,71.1,Rain,-,79,0.06,29.99,78.1,,3:53 PM,10.0,ENE,6.9,70,Miami,Florida,33010
19,Light Rain,2016-01-02 20:56:00,71.1,Rain,-,79,0.00,29.99,78.1,,3:56 PM,10.0,East,6.9,90,Miami,Florida,33010
20,Mostly Cloudy,2016-01-02 21:53:00,70.0,,-,76,0.01,29.99,78.1,,4:53 PM,10.0,East,6.9,80,Miami,Florida,33010
21,Mostly Cloudy,2016-01-02 22:53:00,70.0,,-,76,N/A,29.99,78.1,,5:53 PM,10.0,NE,5.8,50,Miami,Florida,33010
22,Mostly Cloudy,2016-01-02 23:53:00,70.0,,-,79,N/A,30.01,77.0,,6:53 PM,10.0,NE,8.1,50,Miami,Florida,33010
23,Overcast,2016-01-03 00:53:00,69.1,,-,79,N/A,30.01,75.9,,7:53 PM,10.0,NE,6.9,40,Miami,Florida,33010
24,Overcast,2016-01-03 01:08:00,68.0,,-,79,N/A,30.02,75.0,,8:08 PM,10.0,NE,8.1,40,Miami,Florida,33010
25,Mostly Cloudy,2016-01-03 01:51:00,68.0,,-,78,N/A,30.02,75.2,,8:51 PM,10.0,NNE,6.9,20,Miami,Florida,33010
26,Mostly Cloudy,2016-01-03 01:53:00,68.0,,-,79,N/A,30.02,75.0,,8:53 PM,10.0,NNE,9.2,30,Miami,Florida,33010
27,Overcast,2016-01-03 02:53:00,68.0,,-,79,N/A,30.02,75.0,,9:53 PM,10.0,Variable,3.5,0,Miami,Florida,33010
28,Mostly Cloudy,2016-01-03 03:53:00,66.9,,-,79,N/A,30.01,73.9,,10:53 PM,10.0,North,4.6,350,Miami,Florida,33010
29,Mostly Cloudy,2016-01-03 04:53:00,66.9,,-,79,N/A,30.01,73.9,,11:53 PM,10.0,Calm,Calm,0,Miami,Florida,33010
0,Overcast,2016-01-03 05:53:00,68.0,,-,84,N/A,30.00,73.0,,12:53 AM,10.0,NNW,5.8,330,Miami,Florida,33010
1,Heavy Rain,2016-01-03 06:12:00,68.0,Rain,-,87,0.14,30.00,72.0,,1:12 AM,6.0,SW,5.8,220,Miami,Florida,33010
2,Heavy Rain,2016-01-03 06:23:00,69.1,Rain,-,93,0.39,30.00,71.1,,1:23 AM,2.5,WNW,9.2,300,Miami,Florida,33010
3,Light Rain,2016-01-03 06:33:00,69.1,Rain,-,93,0.49,30.00,71.1,,1:33 AM,7.0,SSW,9.2,200,Miami,Florida,33010
4,Light Rain,2016-01-03 06:53:00,69.1,Rain,-,93,0.58,29.99,71.1,,1:53 AM,7.0,NW,5.8,320,Miami,Florida,33010
5,Overcast,2016-01-03 07:01:00,69.1,,-,93,0.00,29.99,71.1,,2:01 AM,10.0,NW,5.8,320,Miami,Florida,33010
6,Mostly Cloudy,2016-01-03 07:53:00,69.1,,-,97,0.00,29.97,70.0,,2:53 AM,10.0,NNW,5.8,340,Miami,Florida,33010
7,Mostly Cloudy,2016-01-03 08:53:00,68.0,,-,93,N/A,29.97,70.0,,3:53 AM,10.0,Calm,Calm,0,Miami,Florida,33010
8,Mostly Cloudy,2016-01-03 09:26:00,68.0,,-,93,N/A,29.97,70.0,,4:26 AM,10.0,Calm,Calm,0,Miami,Florida,33010
9,Mostly Cloudy,2016-01-03 09:40:00,68.0,,-,93,N/A,29.97,70.0,,4:40 AM,8.0,North,4.6,360,Miami,Florida,33010
10,Mostly Cloudy,2016-01-03 09:50:00,68.0,,-,94,N/A,29.97,69.8,,4:50 AM,8.0,North,3.5,350,Miami,Florida,33010
11,Mostly Cloudy,2016-01-03 09:53:00,68.0,,-,93,N/A,29.97,70.0,,4:53 AM,8.0,Variable,4.6,0,Miami,Florida,33010
12,Mostly Cloudy,2016-01-03 10:53:00,68.0,,-,96,N/A,29.97,69.1,,5:53 AM,8.0,NNE,4.6,30,Miami,Florida,33010
13,Mostly Cloudy,2016-01-03 11:24:00,66.9,,-,93,N/A,29.98,69.1,,6:24 AM,5.0,North,3.5,360,Miami,Florida,33010
14,Overcast,2016-01-03 11:53:00,66.9,,-,96,N/A,29.99,68.0,,6:53 AM,4.0,North,3.5,360,Miami,Florida,33010
15,Overcast,2016-01-03 12:53:00,66.0,,-,93,N/A,30.01,68.0,,7:53 AM,5.0,NNW,8.1,340,Miami,Florida,33010
16,Overcast,2016-01-03 13:53:00,66.0,,-,97,N/A,30.02,66.9,,8:53 AM,5.0,Variable,4.6,0,Miami,Florida,33010
17,Mostly Cloudy,2016-01-03 14:53:00,66.9,,-,93,N/A,30.02,69.1,,9:53 AM,10.0,NE,3.5,40,Miami,Florida,33010
18,Mostly Cloudy,2016-01-03 14:59:00,66.0,,-,87,N/A,30.02,70.0,,9:59 AM,10.0,North,4.6,360,Miami,Florida,33010
19,Mostly Cloudy,2016-01-03 15:53:00,66.9,,-,79,N/A,30.01,73.9,,10:53 AM,10.0,Variable,5.8,0,Miami,Florida,33010
20,Mostly Cloudy,2016-01-03 16:53:00,66.9,,-,71,N/A,29.98,77.0,,11:53 AM,10.0,Variable,5.8,0,Miami,Florida,33010
21,Mostly Cloudy,2016-01-03 17:53:00,66.9,,-,71,N/A,29.94,77.0,,12:53 PM,10.0,Calm,Calm,0,Miami,Florida,33010
22,Mostly Cloudy,2016-01-03 18:53:00,68.0,,-,71,N/A,29.90,78.1,,1:53 PM,10.0,ENE,3.5,60,Miami,Florida,33010
23,Overcast,2016-01-03 19:53:00,68.0,,-,71,N/A,29.89,78.1,,2:53 PM,10.0,East,3.5,100,Miami,Florida,33010
24,Overcast,2016-01-03 20:53:00,69.1,,-,74,N/A,29.88,78.1,,3:53 PM,10.0,ESE,6.9,110,Miami,Florida,33010
25,Rain,2016-01-03 21:22:00,68.0,Rain,18.4,82,0.00,29.90,73.9,,4:22 PM,7.0,SW,15.0,220,Miami,Florida,33010
26,Heavy Rain,2016-01-03 21:26:00,69.1,Rain,-,87,0.07,29.90,73.0,,4:26 PM,1.5,SSW,12.7,210,Miami,Florida,33010
27,Light Rain,2016-01-03 21:40:00,68.0,Rain,-,90,0.39,29.89,71.1,,4:40 PM,3.0,Calm,Calm,0,Miami,Florida,33010
28,Overcast,2016-01-03 21:48:00,68.0,,-,88,0.40,29.89,71.6,,4:48 PM,10.0,Variable,3.5,0,Miami,Florida,33010
29,Overcast,2016-01-03 21:53:00,68.0,,-,87,0.40,29.89,72.0,,4:53 PM,10.0,South,3.5,170,Miami,Florida,33010
30,Overcast,2016-01-03 22:53:00,69.1,,-,91,0.01,29.89,72.0,,5:53 PM,10.0,NNW,6.9,330,Miami,Florida,33010
31,Overcast,2016-01-03 23:40:00,68.0,,-,90,N/A,29.90,71.1,,6:40 PM,10.0,NNW,5.8,330,Miami,Florida,33010
32,Overcast,2016-01-03 23:53:00,68.0,,-,93,N/A,29.91,70.0,,6:53 PM,10.0,North,5.8,350,Miami,Florida,33010
33,Overcast,2016-01-03 23:56:00,68.0,,-,93,N/A,29.90,70.0,,6:56 PM,10.0,North,4.6,360,Miami,Florida,33010
34,Overcast,2016-01-04 00:53:00,66.0,,-,90,N/A,29.92,69.1,,7:53 PM,10.0,NNW,8.1,330,Miami,Florida,33010
35,Overcast,2016-01-04 01:53:00,64.0,,-,93,N/A,29.92,66.0,,8:53 PM,10.0,NW,4.6,320,Miami,Florida,33010
36,Overcast,2016-01-04 02:53:00,64.0,,-,93,N/A,29.94,66.0,,9:53 PM,10.0,NNW,5.8,340,Miami,Florida,33010
37,Light Rain,2016-01-04 02:58:00,63.0,Rain,-,90,0.00,29.94,66.0,,9:58 PM,10.0,North,3.5,350,Miami,Florida,33010
38,Light Rain,2016-01-04 03:53:00,64.0,Rain,-,93,0.04,29.96,66.0,,10:53 PM,10.0,NNW,8.1,330,Miami,Florida,33010
39,Overcast,2016-01-04 04:50:00,62.6,,17.3,88,0.02,29.94,66.2,,11:50 PM,10.0,NNW,8.1,340,Miami,Florida,33010
