,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeCDT,TimeCST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Light Snow,2016-01-01 06:53:00,15.1,Snow,-,81,0.00,30.18,19.9,,12:53 AM,4.0,WSW,6.9,250,Minneapolis,Minnesota,55401
1,Haze,2016-01-01 07:13:00,15.1,,-,81,0.00,30.13,19.9,,1:13 AM,6.0,WSW,8.1,250,Minneapolis,Minnesota,55401
2,Overcast,2016-01-01 07:24:00,15.1,,-,81,0.00,30.13,19.9,,1:24 AM,7.0,West,5.8,260,Minneapolis,Minnesota,55401
3,Overcast,2016-01-01 07:53:00,15.1,,-,78,0.00,30.17,21.0,,1:53 AM,8.0,WSW,8.1,250,Minneapolis,Minnesota,55401
4,Overcast,2016-01-01 08:41:00,15.1,,20.7,78,N/A,30.12,21.0,,2:41 AM,9.0,West,13.8,270,Minneapolis,Minnesota,55401
5,Overcast,2016-01-01 08:53:00,12.9,,-,74,N/A,30.17,19.9,,2:53 AM,9.0,West,12.7,280,Minneapolis,Minnesota,55401
6,Overcast,2016-01-01 09:53:00,10.9,,-,74,N/A,30.17,18.0,,3:53 AM,10.0,WSW,10.4,250,Minneapolis,Minnesota,55401
7,Overcast,2016-01-01 10:20:00,12.0,,-,78,N/A,30.10,18.0,,4:20 AM,10.0,WSW,8.1,240,Minneapolis,Minnesota,55401
8,Overcast,2016-01-01 10:53:00,12.0,,-,78,N/A,30.14,18.0,,4:53 AM,10.0,WSW,8.1,240,Minneapolis,Minnesota,55401
9,Scattered Clouds,2016-01-01 11:26:00,10.9,,-,77,N/A,30.07,17.1,,5:26 AM,10.0,SW,8.1,220,Minneapolis,Minnesota,55401
10,Clear,2016-01-01 11:53:00,10.9,,-,77,N/A,30.10,17.1,,5:53 AM,10.0,SSW,10.4,200,Minneapolis,Minnesota,55401
11,Clear,2016-01-01 12:53:00,12.0,,-,81,N/A,30.09,17.1,,6:53 AM,10.0,SSW,8.1,210,Minneapolis,Minnesota,55401
12,Clear,2016-01-01 13:53:00,12.0,,-,78,N/A,30.07,18.0,,7:53 AM,10.0,South,5.8,190,Minneapolis,Minnesota,55401
13,Overcast,2016-01-01 14:53:00,12.9,,-,74,N/A,30.07,19.9,,8:53 AM,10.0,SW,8.1,220,Minneapolis,Minnesota,55401
14,Overcast,2016-01-01 15:53:00,14.0,,21.9,68,N/A,30.04,23.0,,9:53 AM,10.0,WSW,16.1,240,Minneapolis,Minnesota,55401
15,Mostly Cloudy,2016-01-01 16:53:00,15.1,,-,69,N/A,30.03,24.1,,10:53 AM,10.0,WSW,11.5,240,Minneapolis,Minnesota,55401
16,Partly Cloudy,2016-01-01 17:53:00,17.1,,-,63,N/A,30.02,28.0,,11:53 AM,10.0,West,12.7,270,Minneapolis,Minnesota,55401
17,Clear,2016-01-01 18:53:00,17.1,,-,59,N/A,29.99,30.0,,12:53 PM,10.0,West,12.7,280,Minneapolis,Minnesota,55401
18,Clear,2016-01-01 19:53:00,18.0,,-,61,N/A,29.99,30.0,,1:53 PM,10.0,West,18.4,280,Minneapolis,Minnesota,55401
19,Clear,2016-01-01 20:53:00,18.0,,-,61,N/A,30.01,30.0,,2:53 PM,10.0,West,13.8,280,Minneapolis,Minnesota,55401
20,Clear,2016-01-01 21:53:00,18.0,,-,64,N/A,30.05,28.9,,3:53 PM,10.0,WNW,11.5,290,Minneapolis,Minnesota,55401
21,Clear,2016-01-01 22:53:00,17.1,,-,66,N/A,30.06,27.0,,4:53 PM,10.0,West,5.8,270,Minneapolis,Minnesota,55401
22,Clear,2016-01-01 23:53:00,17.1,,-,72,N/A,30.09,25.0,,5:53 PM,10.0,West,9.2,270,Minneapolis,Minnesota,55401
23,Clear,2016-01-02 00:53:00,16.0,,-,71,N/A,30.10,24.1,,6:53 PM,10.0,West,9.2,270,Minneapolis,Minnesota,55401
24,Clear,2016-01-02 01:53:00,16.0,,-,74,N/A,30.12,23.0,,7:53 PM,10.0,West,10.4,260,Minneapolis,Minnesota,55401
25,Clear,2016-01-02 02:53:00,15.1,,-,72,N/A,30.12,23.0,,8:53 PM,10.0,West,9.2,280,Minneapolis,Minnesota,55401
26,Clear,2016-01-02 03:53:00,15.1,,-,75,N/A,30.13,21.9,,9:53 PM,10.0,West,9.2,270,Minneapolis,Minnesota,55401
27,Clear,2016-01-02 04:53:00,14.0,,-,74,N/A,30.14,21.0,,10:53 PM,10.0,WNW,8.1,290,Minneapolis,Minnesota,55401
