,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeCDT,TimeCST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Overcast,2016-01-01 06:53:00,41.0,,-,59,N/A,30.21,55.0,,12:53 AM,10.0,NNE,17.3,20,New Orleans,Louisiana,70063
1,Overcast,2016-01-01 07:53:00,41.0,,-,59,N/A,30.20,55.0,,1:53 AM,10.0,NNE,16.1,20,New Orleans,Louisiana,70063
2,Rain,2016-01-01 08:53:00,43.0,Rain,-,74,0.10,30.25,51.1,,2:53 AM,7.0,North,16.1,350,New Orleans,Louisiana,70063
3,Light Rain,2016-01-01 09:53:00,41.0,Rain,29.9,74,0.04,30.24,48.9,,3:53 AM,8.0,North,18.4,360,New Orleans,Louisiana,70063
4,Rain,2016-01-01 10:53:00,42.1,Rain,24.2,80,0.31,30.27,48.0,,4:53 AM,5.0,North,16.1,360,New Orleans,Louisiana,70063
5,Light Rain,2016-01-01 11:53:00,41.0,Rain,-,77,0.11,30.27,48.0,,5:53 AM,10.0,NNE,13.8,20,New Orleans,Louisiana,70063
6,Mostly Cloudy,2016-01-01 12:53:00,42.1,,-,80,0.00,30.27,48.0,,6:53 AM,10.0,NNE,16.1,20,New Orleans,Louisiana,70063
7,Overcast,2016-01-01 13:53:00,41.0,,-,77,N/A,30.28,48.0,,7:53 AM,10.0,NNE,18.4,20,New Orleans,Louisiana,70063
8,Overcast,2016-01-01 14:53:00,39.9,,23.0,74,N/A,30.32,48.0,,8:53 AM,10.0,NNE,18.4,20,New Orleans,Louisiana,70063
9,Overcast,2016-01-01 15:53:00,39.9,,-,71,N/A,30.35,48.9,,9:53 AM,10.0,North,17.3,360,New Orleans,Louisiana,70063
10,Overcast,2016-01-01 16:53:00,37.9,,24.2,66,N/A,30.36,48.9,,10:53 AM,10.0,North,12.7,360,New Orleans,Louisiana,70063
11,Overcast,2016-01-01 17:53:00,37.9,,-,66,N/A,30.32,48.9,,11:53 AM,10.0,North,16.1,10,New Orleans,Louisiana,70063
12,Overcast,2016-01-01 18:53:00,37.9,,-,63,N/A,30.29,50.0,,12:53 PM,10.0,North,13.8,10,New Orleans,Louisiana,70063
13,Overcast,2016-01-01 19:53:00,37.9,,23.0,61,N/A,30.29,51.1,,1:53 PM,10.0,North,16.1,10,New Orleans,Louisiana,70063
14,Mostly Cloudy,2016-01-01 20:53:00,37.9,,24.2,61,N/A,30.26,51.1,,2:53 PM,10.0,North,17.3,360,New Orleans,Louisiana,70063
15,Light Rain,2016-01-01 21:19:00,37.0,Rain,-,59,0.00,30.28,51.1,,3:19 PM,10.0,North,15.0,360,New Orleans,Louisiana,70063
16,Overcast,2016-01-01 21:53:00,37.0,,20.7,61,0.00,30.29,50.0,,3:53 PM,10.0,North,16.1,360,New Orleans,Louisiana,70063
17,Light Rain,2016-01-01 22:53:00,39.0,Rain,21.9,69,0.01,30.32,48.9,,4:53 PM,7.0,North,13.8,350,New Orleans,Louisiana,70063
18,Light Rain,2016-01-01 23:53:00,37.0,Rain,-,66,0.01,30.34,48.0,,5:53 PM,10.0,North,13.8,360,New Orleans,Louisiana,70063
19,Overcast,2016-01-02 00:53:00,37.0,,23.0,64,0.00,30.35,48.9,,6:53 PM,10.0,North,16.1,10,New Orleans,Louisiana,70063
20,Light Rain,2016-01-02 01:53:00,36.0,Rain,-,63,0.00,30.37,48.0,,7:53 PM,10.0,North,17.3,10,New Orleans,Louisiana,70063
21,Light Rain,2016-01-02 02:53:00,35.1,Rain,-,61,0.00,30.36,48.0,,8:53 PM,10.0,NNE,16.1,20,New Orleans,Louisiana,70063
22,Light Rain,2016-01-02 03:53:00,35.1,Rain,-,59,0.00,30.37,48.9,,9:53 PM,10.0,NNE,12.7,30,New Orleans,Louisiana,70063
23,Overcast,2016-01-02 04:53:00,35.1,,-,61,0.00,30.36,48.0,,10:53 PM,10.0,NNE,12.7,30,New Orleans,Louisiana,70063
24,Overcast,2016-01-02 05:53:00,34.0,,-,56,0.00,30.34,48.9,,11:53 PM,10.0,NNE,17.3,20,New Orleans,Louisiana,70063
0,Overcast,2016-01-02 06:53:00,34.0,,-,58,N/A,30.35,48.0,,12:53 AM,10.0,North,13.8,10,New Orleans,Louisiana,70063
1,Overcast,2016-01-02 07:53:00,33.1,,-,56,N/A,30.34,48.0,,1:53 AM,10.0,NNE,12.7,20,New Orleans,Louisiana,70063
2,Overcast,2016-01-02 08:53:00,33.1,,-,59,N/A,30.35,46.9,,2:53 AM,10.0,NNE,15.0,20,New Orleans,Louisiana,70063
3,Overcast,2016-01-02 09:53:00,33.1,,-,59,N/A,30.36,46.9,,3:53 AM,10.0,NNE,16.1,20,New Orleans,Louisiana,70063
4,Overcast,2016-01-02 10:53:00,33.1,,-,59,N/A,30.34,46.9,,4:53 AM,10.0,NNE,17.3,30,New Orleans,Louisiana,70063
