,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeEDT,TimeEST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Overcast,2016-01-01 05:51:00,25.0,,-,51,N/A,30.06,42.1,,12:51 AM,10.0,Variable,4.6,0,New York City,New York,10001
1,Overcast,2016-01-01 06:51:00,25.0,,-,53,N/A,30.06,41.0,,1:51 AM,10.0,Variable,3.5,0,New York City,New York,10001
2,Overcast,2016-01-01 07:51:00,26.1,,-,55,N/A,30.06,41.0,,2:51 AM,10.0,West,4.6,280,New York City,New York,10001
3,Overcast,2016-01-01 08:51:00,26.1,,-,55,N/A,30.06,41.0,,3:51 AM,10.0,West,9.2,280,New York City,New York,10001
4,Overcast,2016-01-01 09:51:00,26.1,,16.1,58,N/A,30.04,39.9,,4:51 AM,10.0,West,10.4,270,New York City,New York,10001
5,Overcast,2016-01-01 10:51:00,26.1,,-,58,N/A,30.05,39.9,,5:51 AM,10.0,WNW,6.9,290,New York City,New York,10001
6,Overcast,2016-01-01 11:51:00,26.1,,-,60,N/A,30.06,39.0,,6:51 AM,10.0,Calm,Calm,0,New York City,New York,10001
7,Overcast,2016-01-01 12:51:00,25.0,,-,57,N/A,30.05,39.0,,7:51 AM,10.0,West,6.9,280,New York City,New York,10001
8,Partly Cloudy,2016-01-01 13:51:00,24.1,,-,55,N/A,30.06,39.0,,8:51 AM,10.0,West,6.9,260,New York City,New York,10001
9,Overcast,2016-01-01 14:51:00,25.0,,-,55,N/A,30.06,39.9,,9:51 AM,10.0,WNW,4.6,290,New York City,New York,10001
10,Overcast,2016-01-01 15:51:00,24.1,,19.6,53,N/A,30.05,39.9,,10:51 AM,10.0,Variable,5.8,0,New York City,New York,10001
11,Overcast,2016-01-01 16:51:00,23.0,,-,51,N/A,30.02,39.9,,11:51 AM,10.0,West,9.2,270,New York City,New York,10001
12,Overcast,2016-01-01 17:51:00,23.0,,19.6,51,N/A,29.99,39.9,,12:51 PM,10.0,West,13.8,280,New York City,New York,10001
13,Overcast,2016-01-01 18:51:00,23.0,,21.9,51,N/A,29.97,39.9,,1:51 PM,10.0,Variable,6.9,0,New York City,New York,10001
14,Overcast,2016-01-01 19:51:00,21.0,,26.5,49,N/A,29.98,39.0,,2:51 PM,10.0,WNW,11.5,290,New York City,New York,10001
15,Overcast,2016-01-01 20:51:00,19.9,,-,46,N/A,29.97,39.0,,3:51 PM,10.0,North,-9999.0,0,New York City,New York,10001
16,Clear,2016-01-01 21:51:00,19.9,,18.4,48,N/A,29.97,37.9,,4:51 PM,10.0,West,11.5,280,New York City,New York,10001
17,Clear,2016-01-01 22:51:00,19.9,,19.6,48,N/A,29.99,37.9,,5:51 PM,10.0,WNW,8.1,300,New York City,New York,10001
18,Partly Cloudy,2016-01-01 23:51:00,19.9,,18.4,50,N/A,30.00,37.0,,6:51 PM,10.0,WNW,12.7,290,New York City,New York,10001
19,Clear,2016-01-02 00:51:00,19.0,,16.1,48,N/A,30.02,37.0,,7:51 PM,10.0,West,9.2,280,New York City,New York,10001
20,Clear,2016-01-02 01:51:00,19.0,,-,50,N/A,30.03,36.0,,8:51 PM,10.0,WNW,6.9,290,New York City,New York,10001
21,Clear,2016-01-02 02:51:00,19.9,,-,54,N/A,30.02,35.1,,9:51 PM,10.0,North,-9999.0,0,New York City,New York,10001
22,Clear,2016-01-02 03:51:00,19.0,,-,52,N/A,30.03,35.1,,10:51 PM,10.0,Variable,5.8,0,New York City,New York,10001
23,Clear,2016-01-02 04:51:00,16.0,,19.6,46,N/A,30.03,35.1,,11:51 PM,10.0,West,9.2,270,New York City,New York,10001
0,Mostly Cloudy,2016-01-02 05:51:00,15.1,,18.4,46,N/A,30.02,34.0,,12:51 AM,10.0,Variable,5.8,0,New York City,New York,10001
1,Clear,2016-01-02 06:51:00,16.0,,16.1,48,N/A,30.02,34.0,,1:51 AM,10.0,West,8.1,270,New York City,New York,10001
2,Clear,2016-01-02 07:51:00,17.1,,-,50,N/A,30.04,34.0,,2:51 AM,10.0,WNW,8.1,290,New York City,New York,10001
3,Clear,2016-01-02 08:51:00,17.1,,20.7,50,N/A,30.03,34.0,,3:51 AM,10.0,West,13.8,280,New York City,New York,10001
4,Clear,2016-01-02 09:51:00,18.0,,16.1,54,N/A,30.04,33.1,,4:51 AM,10.0,West,10.4,280,New York City,New York,10001
5,Clear,2016-01-02 10:51:00,18.0,,-,54,N/A,30.05,33.1,,5:51 AM,10.0,West,9.2,270,New York City,New York,10001
6,Scattered Clouds,2016-01-02 11:51:00,18.0,,-,54,N/A,30.06,33.1,,6:51 AM,10.0,Calm,Calm,0,New York City,New York,10001
7,Overcast,2016-01-02 12:51:00,18.0,,-,52,N/A,30.07,34.0,,7:51 AM,10.0,West,4.6,270,New York City,New York,10001
8,Overcast,2016-01-02 13:51:00,17.1,,-,50,N/A,30.09,34.0,,8:51 AM,10.0,West,6.9,260,New York City,New York,10001
9,Overcast,2016-01-02 14:51:00,17.1,,-,48,N/A,30.10,35.1,,9:51 AM,10.0,Variable,5.8,0,New York City,New York,10001
10,Overcast,2016-01-02 15:51:00,18.0,,-,46,N/A,30.08,37.0,,10:51 AM,10.0,Variable,5.8,0,New York City,New York,10001
11,Scattered Clouds,2016-01-02 16:51:00,17.1,,16.1,44,N/A,30.05,37.0,,11:51 AM,10.0,Variable,4.6,0,New York City,New York,10001
12,Scattered Clouds,2016-01-02 17:51:00,17.1,,-,43,N/A,30.01,37.9,,12:51 PM,10.0,WNW,8.1,290,New York City,New York,10001
13,Clear,2016-01-02 18:51:00,18.0,,-,43,N/A,29.99,39.0,,1:51 PM,10.0,WSW,8.1,250,New York City,New York,10001
14,Clear,2016-01-02 19:51:00,19.0,,17.3,45,N/A,29.98,39.0,,2:51 PM,10.0,WNW,9.2,290,New York City,New York,10001
15,Overcast,2016-01-02 20:51:00,19.0,,-,43,N/A,29.99,39.9,,3:51 PM,10.0,WNW,6.9,290,New York City,New York,10001
16,Overcast,2016-01-02 21:51:00,18.0,,-,43,N/A,30.00,39.0,,4:51 PM,10.0,Variable,6.9,0,New York City,New York,10001
17,Clear,2016-01-02 22:51:00,17.1,,17.3,44,N/A,30.01,37.0,,5:51 PM,10.0,NW,5.8,310,New York City,New York,10001
18,Clear,2016-01-02 23:51:00,17.1,,-,46,N/A,30.01,36.0,,6:51 PM,10.0,Calm,Calm,0,New York City,New York,10001
19,Clear,2016-01-03 00:51:00,17.1,,-,46,N/A,30.01,36.0,,7:51 PM,10.0,WNW,6.9,290,New York City,New York,10001
20,Clear,2016-01-03 01:51:00,18.0,,-,50,N/A,30.00,35.1,,8:51 PM,10.0,WSW,4.6,240,New York City,New York,10001
21,Clear,2016-01-03 02:51:00,18.0,,-,48,N/A,29.99,36.0,,9:51 PM,10.0,North,-9999.0,0,New York City,New York,10001
22,Clear,2016-01-03 03:51:00,19.0,,-,52,N/A,29.97,35.1,,10:51 PM,10.0,Variable,6.9,0,New York City,New York,10001
23,Clear,2016-01-03 04:51:00,19.9,,-,52,N/A,29.96,36.0,,11:51 PM,10.0,WSW,8.1,250,New York City,New York,10001
0,Clear,2016-01-03 05:51:00,19.9,,-,54,N/A,29.94,35.1,,12:51 AM,10.0,Calm,Calm,0,New York City,New York,10001
1,Clear,2016-01-03 06:51:00,19.9,,-,52,N/A,29.92,36.0,,1:51 AM,10.0,West,11.5,260,New York City,New York,10001
2,Clear,2016-01-03 07:51:00,19.9,,16.1,52,N/A,29.89,36.0,,2:51 AM,10.0,WSW,6.9,240,New York City,New York,10001
3,Clear,2016-01-03 08:51:00,19.9,,-,52,N/A,29.86,36.0,,3:51 AM,10.0,North,-9999.0,0,New York City,New York,10001
