,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimePDT,TimePST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Clear,2016-01-01 08:56:00,30.9,,-,58,N/A,30.14,45.0,,12:56 AM,10.0,East,11.5,90,San Francisco,California,94101
1,Clear,2016-01-01 09:56:00,28.0,,-,52,N/A,30.14,45.0,,1:56 AM,10.0,East,10.4,90,San Francisco,California,94101
2,Partly Cloudy,2016-01-01 10:56:00,26.1,,-,49,N/A,30.15,44.1,,2:56 AM,10.0,East,10.4,90,San Francisco,California,94101
3,Partly Cloudy,2016-01-01 11:56:00,26.1,,-,49,N/A,30.14,44.1,,3:56 AM,10.0,East,11.5,80,San Francisco,California,94101
4,Partly Cloudy,2016-01-01 12:56:00,24.1,,-,45,N/A,30.13,44.1,,4:56 AM,10.0,East,16.1,90,San Francisco,California,94101
5,Partly Cloudy,2016-01-01 13:56:00,26.1,,-,60,N/A,30.14,39.0,,5:56 AM,10.0,ESE,6.9,120,San Francisco,California,94101
6,Partly Cloudy,2016-01-01 14:56:00,25.0,,-,60,N/A,30.16,37.9,,6:56 AM,10.0,SE,10.4,140,San Francisco,California,94101
7,Partly Cloudy,2016-01-01 15:56:00,24.1,,-,57,N/A,30.17,37.9,,7:56 AM,10.0,SE,10.4,140,San Francisco,California,94101
8,Partly Cloudy,2016-01-01 16:56:00,21.9,,-,49,N/A,30.18,39.9,,8:56 AM,10.0,SE,10.4,130,San Francisco,California,94101
9,Partly Cloudy,2016-01-01 17:56:00,21.9,,-,43,N/A,30.19,43.0,,9:56 AM,10.0,ESE,9.2,120,San Francisco,California,94101
10,Partly Cloudy,2016-01-01 18:56:00,21.9,,-,42,N/A,30.20,44.1,,10:56 AM,10.0,ESE,8.1,120,San Francisco,California,94101
11,Partly Cloudy,2016-01-01 19:56:00,23.0,,-,42,N/A,30.17,45.0,,11:56 AM,10.0,East,8.1,100,San Francisco,California,94101
12,Partly Cloudy,2016-01-01 20:56:00,23.0,,-,40,N/A,30.15,46.0,,12:56 PM,10.0,East,6.9,100,San Francisco,California,94101
13,Partly Cloudy,2016-01-01 21:56:00,26.1,,-,44,N/A,30.14,46.9,,1:56 PM,10.0,Calm,Calm,0,San Francisco,California,94101
14,Scattered Clouds,2016-01-01 22:56:00,26.1,,-,42,N/A,30.13,48.0,,2:56 PM,10.0,Calm,Calm,0,San Francisco,California,94101
15,Scattered Clouds,2016-01-01 23:56:00,27.0,,-,44,N/A,30.13,48.0,,3:56 PM,10.0,Calm,Calm,0,San Francisco,California,94101
16,Mostly Cloudy,2016-01-02 00:56:00,28.0,,-,46,N/A,30.12,48.0,,4:56 PM,10.0,NE,10.4,50,San Francisco,California,94101
17,Mostly Cloudy,2016-01-02 01:56:00,28.9,,-,50,N/A,30.13,46.9,,5:56 PM,10.0,ENE,11.5,60,San Francisco,California,94101
18,Mostly Cloudy,2016-01-02 02:56:00,28.0,,-,50,N/A,30.13,46.0,,6:56 PM,10.0,NE,12.7,50,San Francisco,California,94101
19,Mostly Cloudy,2016-01-02 03:56:00,28.9,,-,51,N/A,30.13,46.0,,7:56 PM,10.0,NE,9.2,50,San Francisco,California,94101
20,Mostly Cloudy,2016-01-02 04:56:00,30.0,,-,54,N/A,30.14,46.0,,8:56 PM,10.0,East,6.9,80,San Francisco,California,94101
21,Mostly Cloudy,2016-01-02 05:56:00,30.0,,-,54,N/A,30.14,46.0,,9:56 PM,10.0,ENE,10.4,60,San Francisco,California,94101
22,Mostly Cloudy,2016-01-02 06:56:00,32.0,,-,60,N/A,30.14,45.0,,10:56 PM,10.0,ENE,10.4,70,San Francisco,California,94101
23,Mostly Cloudy,2016-01-02 07:56:00,32.0,,-,60,N/A,30.13,45.0,,11:56 PM,10.0,ENE,9.2,70,San Francisco,California,94101
0,Overcast,2016-01-02 08:56:00,33.1,,-,63,N/A,30.13,45.0,,12:56 AM,10.0,East,9.2,80,San Francisco,California,94101
1,Overcast,2016-01-02 09:56:00,33.1,,-,65,N/A,30.12,44.1,,1:56 AM,10.0,SE,3.5,130,San Francisco,California,94101
2,Overcast,2016-01-02 10:56:00,30.9,,-,60,N/A,30.11,44.1,,2:56 AM,10.0,SE,5.8,130,San Francisco,California,94101
3,Overcast,2016-01-02 11:56:00,30.9,,-,60,N/A,30.11,44.1,,3:56 AM,10.0,South,4.6,170,San Francisco,California,94101
4,Overcast,2016-01-02 12:56:00,30.9,,-,60,N/A,30.10,44.1,,4:56 AM,10.0,SSE,4.6,150,San Francisco,California,94101
5,Overcast,2016-01-02 13:56:00,32.0,,-,63,N/A,30.09,44.1,,5:56 AM,10.0,SE,4.6,140,San Francisco,California,94101
6,Overcast,2016-01-02 14:56:00,30.9,,-,60,N/A,30.10,44.1,,6:56 AM,10.0,SSE,5.8,150,San Francisco,California,94101
7,Overcast,2016-01-02 15:56:00,32.0,,-,63,N/A,30.09,44.1,,7:56 AM,10.0,SSE,4.6,150,San Francisco,California,94101
