,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimePDT,TimePST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Clear,2016-01-01 08:53:00,21.0,,-,81,N/A,30.49,26.1,,12:53 AM,10.0,Calm,Calm,0,Seattle,Washington,98101
1,Clear,2016-01-01 09:53:00,21.9,,-,81,N/A,30.48,27.0,,1:53 AM,10.0,Calm,Calm,0,Seattle,Washington,98101
2,Clear,2016-01-01 10:53:00,21.0,,-,85,N/A,30.49,25.0,,2:53 AM,10.0,Calm,Calm,0,Seattle,Washington,98101
3,Clear,2016-01-01 11:53:00,24.1,,-,89,N/A,30.47,27.0,,3:53 AM,10.0,Calm,Calm,0,Seattle,Washington,98101
4,Clear,2016-01-01 12:53:00,21.9,,-,88,N/A,30.46,25.0,,4:53 AM,8.0,Calm,Calm,0,Seattle,Washington,98101
5,Clear,2016-01-01 13:53:00,23.0,,-,92,0.00,30.45,25.0,,5:53 AM,6.0,Calm,Calm,0,Seattle,Washington,98101
6,Clear,2016-01-01 14:53:00,21.9,,-,88,N/A,30.45,25.0,,6:53 AM,10.0,ESE,3.5,110,Seattle,Washington,98101
7,Clear,2016-01-01 15:53:00,23.0,,-,92,0.00,30.44,25.0,,7:53 AM,8.0,Calm,Calm,0,Seattle,Washington,98101
8,Clear,2016-01-01 16:53:00,24.1,,-,89,N/A,30.43,27.0,,8:53 AM,10.0,Calm,Calm,0,Seattle,Washington,98101
9,Clear,2016-01-01 17:53:00,25.0,,-,72,N/A,30.42,33.1,,9:53 AM,10.0,Calm,Calm,0,Seattle,Washington,98101
10,Clear,2016-01-01 18:53:00,26.1,,-,67,N/A,30.41,36.0,,10:53 AM,10.0,Calm,Calm,0,Seattle,Washington,98101
11,Clear,2016-01-01 19:53:00,25.0,,-,53,N/A,30.38,41.0,,11:53 AM,10.0,NW,3.5,310,Seattle,Washington,98101
12,Clear,2016-01-01 20:53:00,24.1,,-,47,N/A,30.36,43.0,,12:53 PM,10.0,WNW,4.6,290,Seattle,Washington,98101
13,Clear,2016-01-01 21:53:00,25.0,,-,47,N/A,30.34,44.1,,1:53 PM,10.0,Calm,Calm,0,Seattle,Washington,98101
14,Clear,2016-01-01 22:53:00,23.0,,-,43,N/A,30.33,44.1,,2:53 PM,10.0,Calm,Calm,0,Seattle,Washington,98101
15,Clear,2016-01-01 23:53:00,30.0,,-,60,N/A,30.32,43.0,,3:53 PM,10.0,NW,4.6,310,Seattle,Washington,98101
16,Clear,2016-01-02 00:53:00,28.9,,-,67,N/A,30.32,39.0,,4:53 PM,10.0,Calm,Calm,0,Seattle,Washington,98101
17,Clear,2016-01-02 01:53:00,27.0,,-,72,N/A,30.31,35.1,,5:53 PM,10.0,Calm,Calm,0,Seattle,Washington,98101
18,Clear,2016-01-02 02:53:00,26.1,,-,75,N/A,30.30,33.1,,6:53 PM,10.0,Calm,Calm,0,Seattle,Washington,98101
19,Clear,2016-01-02 03:53:00,27.0,,-,85,N/A,30.29,30.9,,7:53 PM,10.0,Calm,Calm,0,Seattle,Washington,98101
20,Clear,2016-01-02 04:53:00,26.1,,-,89,N/A,30.29,28.9,,8:53 PM,10.0,Calm,Calm,0,Seattle,Washington,98101
21,Clear,2016-01-02 05:53:00,26.1,,-,89,N/A,30.28,28.9,,9:53 PM,10.0,Calm,Calm,0,Seattle,Washington,98101
22,Clear,2016-01-02 06:53:00,25.0,,-,88,0.00,30.27,28.0,,10:53 PM,9.0,Calm,Calm,0,Seattle,Washington,98101
23,Clear,2016-01-02 07:53:00,24.1,,-,89,N/A,30.27,27.0,,11:53 PM,10.0,Variable,3.5,0,Seattle,Washington,98101
0,Clear,2016-01-02 08:53:00,24.1,,-,92,N/A,30.26,26.1,,12:53 AM,10.0,Calm,Calm,0,Seattle,Washington,98101
1,Clear,2016-01-02 09:53:00,24.1,,-,92,0.00,30.25,26.1,,1:53 AM,10.0,Calm,Calm,0,Seattle,Washington,98101
2,Clear,2016-01-02 10:53:00,24.1,,-,92,N/A,30.24,26.1,,2:53 AM,10.0,Calm,Calm,0,Seattle,Washington,98101
3,Clear,2016-01-02 11:53:00,24.1,,-,96,N/A,30.23,25.0,,3:53 AM,10.0,Calm,Calm,0,Seattle,Washington,98101
4,Clear,2016-01-02 12:53:00,23.0,,-,92,0.00,30.23,25.0,,4:53 AM,10.0,SE,4.6,130,Seattle,Washington,98101
5,Clear,2016-01-02 13:53:00,21.9,,-,91,N/A,30.23,24.1,,5:53 AM,7.0,SE,4.6,130,Seattle,Washington,98101
6,Clear,2016-01-02 14:53:00,24.1,,-,96,0.00,30.23,25.0,,6:53 AM,10.0,SE,3.5,140,Seattle,Washington,98101
7,Clear,2016-01-02 15:53:00,21.9,,-,96,N/A,30.23,23.0,,7:53 AM,6.0,SE,4.6,130,Seattle,Washington,98101
8,Clear,2016-01-02 16:53:00,25.0,,-,96,N/A,30.23,26.1,,8:53 AM,10.0,SE,3.5,130,Seattle,Washington,98101
9,Clear,2016-01-02 17:53:00,27.0,,-,92,N/A,30.24,28.9,,9:53 AM,10.0,SE,4.6,140,Seattle,Washington,98101
10,Clear,2016-01-02 18:53:00,28.0,,-,89,N/A,30.23,30.9,,10:53 AM,7.0,SSE,4.6,160,Seattle,Washington,98101
11,Clear,2016-01-02 19:53:00,30.0,,-,82,N/A,30.21,35.1,,11:53 AM,6.0,Calm,Calm,0,Seattle,Washington,98101
12,Clear,2016-01-02 20:53:00,30.0,,-,65,N/A,30.19,41.0,,12:53 PM,10.0,Calm,Calm,0,Seattle,Washington,98101
13,Clear,2016-01-02 21:53:00,28.0,,-,58,N/A,30.16,42.1,,1:53 PM,10.0,NW,3.5,310,Seattle,Washington,98101
14,Clear,2016-01-02 22:53:00,24.1,,-,45,N/A,30.15,44.1,,2:53 PM,10.0,WNW,3.5,300,Seattle,Washington,98101
15,Clear,2016-01-02 23:53:00,24.1,,-,47,N/A,30.14,43.0,,3:53 PM,10.0,NW,3.5,320,Seattle,Washington,98101
16,Clear,2016-01-03 00:53:00,25.0,,-,64,N/A,30.14,36.0,,4:53 PM,10.0,SSE,3.5,150,Seattle,Washington,98101
17,Clear,2016-01-03 01:53:00,28.0,,-,76,N/A,30.14,35.1,,5:53 PM,10.0,SE,4.6,130,Seattle,Washington,98101
