,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeCDT,TimeCST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Partly Cloudy,2016-01-01 06:51:00,23.0,,-,75,N/A,30.40,30.0,,12:51 AM,9.0,WSW,4.6,240,St Louis,Missouri,63101
1,Partly Cloudy,2016-01-01 07:51:00,23.0,,-,72,N/A,30.40,30.9,,1:51 AM,10.0,WNW,9.2,290,St Louis,Missouri,63101
2,Partly Cloudy,2016-01-01 08:51:00,23.0,,-,75,N/A,30.41,30.0,,2:51 AM,10.0,West,9.2,280,St Louis,Missouri,63101
3,Clear,2016-01-01 09:51:00,21.0,,-,72,N/A,30.41,28.9,,3:51 AM,10.0,WNW,9.2,300,St Louis,Missouri,63101
4,Clear,2016-01-01 10:51:00,19.9,,-,72,N/A,30.41,28.0,,4:51 AM,10.0,West,9.2,270,St Louis,Missouri,63101
5,Clear,2016-01-01 11:51:00,19.0,,-,69,N/A,30.41,28.0,,5:51 AM,10.0,West,10.4,270,St Louis,Missouri,63101
6,Partly Cloudy,2016-01-01 12:51:00,19.0,,-,69,N/A,30.43,28.0,,6:51 AM,10.0,West,13.8,270,St Louis,Missouri,63101
7,Partly Cloudy,2016-01-01 13:51:00,19.0,,-,67,N/A,30.43,28.9,,7:51 AM,10.0,West,10.4,270,St Louis,Missouri,63101
8,Partly Cloudy,2016-01-01 14:51:00,19.9,,-,66,N/A,30.44,30.0,,8:51 AM,10.0,West,12.7,280,St Louis,Missouri,63101
9,Partly Cloudy,2016-01-01 15:51:00,21.0,,19.6,61,N/A,30.43,33.1,,9:51 AM,10.0,West,12.7,260,St Louis,Missouri,63101
10,Partly Cloudy,2016-01-01 16:51:00,21.0,,-,55,N/A,30.43,36.0,,10:51 AM,10.0,West,18.4,280,St Louis,Missouri,63101
11,Partly Cloudy,2016-01-01 17:51:00,21.9,,21.9,53,N/A,30.40,37.9,,11:51 AM,10.0,West,13.8,280,St Louis,Missouri,63101
12,Clear,2016-01-01 18:51:00,23.0,,20.7,51,N/A,30.39,39.9,,12:51 PM,10.0,WNW,11.5,290,St Louis,Missouri,63101
13,Clear,2016-01-01 19:51:00,23.0,,-,49,N/A,30.38,41.0,,1:51 PM,10.0,West,12.7,280,St Louis,Missouri,63101
14,Clear,2016-01-01 20:51:00,21.9,,-,47,N/A,30.37,41.0,,2:51 PM,10.0,WNW,11.5,290,St Louis,Missouri,63101
15,Partly Cloudy,2016-01-01 21:51:00,21.9,,-,47,N/A,30.36,41.0,,3:51 PM,10.0,WNW,10.4,290,St Louis,Missouri,63101
16,Partly Cloudy,2016-01-01 22:51:00,21.9,,-,54,N/A,30.37,37.0,,4:51 PM,10.0,WNW,9.2,290,St Louis,Missouri,63101
