,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeCDT,TimeCST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Clear,2016-01-01 06:53:00,27.0,,-,92,N/A,30.53,28.9,,12:53 AM,9.0,WNW,4.6,300,Tulsa,Oklahoma,74104
1,Clear,2016-01-01 07:53:00,26.1,,-,92,N/A,30.55,28.0,,1:53 AM,8.0,Calm,Calm,0,Tulsa,Oklahoma,74104
2,Clear,2016-01-01 08:53:00,26.1,,-,89,N/A,30.56,28.9,,2:53 AM,9.0,Calm,Calm,0,Tulsa,Oklahoma,74104
3,Clear,2016-01-01 09:53:00,25.0,,-,92,N/A,30.56,27.0,,3:53 AM,7.0,Calm,Calm,0,Tulsa,Oklahoma,74104
4,Clear,2016-01-01 10:53:00,26.1,,-,96,N/A,30.57,27.0,,4:53 AM,6.0,West,3.5,280,Tulsa,Oklahoma,74104
5,Clear,2016-01-01 11:53:00,23.0,,-,92,N/A,30.57,25.0,,5:53 AM,4.0,Calm,Calm,0,Tulsa,Oklahoma,74104
6,Clear,2016-01-01 12:53:00,21.9,,-,91,N/A,30.58,24.1,,6:53 AM,5.0,Calm,Calm,0,Tulsa,Oklahoma,74104
7,Clear,2016-01-01 13:53:00,21.9,,-,91,N/A,30.59,24.1,,7:53 AM,4.0,Calm,Calm,0,Tulsa,Oklahoma,74104
8,Clear,2016-01-01 14:53:00,26.1,,-,85,N/A,30.60,30.0,,8:53 AM,9.0,WNW,3.5,290,Tulsa,Oklahoma,74104
9,Clear,2016-01-01 15:53:00,25.0,,-,67,N/A,30.61,35.1,,9:53 AM,10.0,WNW,5.8,300,Tulsa,Oklahoma,74104
10,Clear,2016-01-01 16:53:00,25.0,,-,60,N/A,30.62,37.9,,10:53 AM,10.0,Variable,3.5,0,Tulsa,Oklahoma,74104
11,Clear,2016-01-01 17:53:00,21.9,,-,47,N/A,30.58,41.0,,11:53 AM,10.0,Variable,4.6,0,Tulsa,Oklahoma,74104
12,Clear,2016-01-01 18:53:00,21.0,,-,42,N/A,30.55,43.0,,12:53 PM,10.0,NW,8.1,310,Tulsa,Oklahoma,74104
13,Clear,2016-01-01 19:53:00,21.9,,-,43,N/A,30.51,43.0,,1:53 PM,10.0,Variable,6.9,0,Tulsa,Oklahoma,74104
14,Clear,2016-01-01 20:53:00,23.0,,-,42,N/A,30.50,45.0,,2:53 PM,10.0,Variable,4.6,0,Tulsa,Oklahoma,74104
15,Clear,2016-01-01 21:53:00,23.0,,-,42,N/A,30.49,45.0,,3:53 PM,10.0,WNW,5.8,300,Tulsa,Oklahoma,74104
16,Clear,2016-01-01 22:53:00,21.9,,-,45,N/A,30.50,42.1,,4:53 PM,10.0,NW,4.6,310,Tulsa,Oklahoma,74104
17,Clear,2016-01-01 23:53:00,24.1,,-,55,N/A,30.50,39.0,,5:53 PM,10.0,Variable,3.5,0,Tulsa,Oklahoma,74104
18,Clear,2016-01-02 00:53:00,24.1,,-,62,N/A,30.52,36.0,,6:53 PM,10.0,Calm,Calm,0,Tulsa,Oklahoma,74104
19,Clear,2016-01-02 01:53:00,23.0,,-,59,N/A,30.53,36.0,,7:53 PM,10.0,Calm,Calm,0,Tulsa,Oklahoma,74104
20,Clear,2016-01-02 02:53:00,23.0,,-,75,N/A,30.51,30.0,,8:53 PM,10.0,Calm,Calm,0,Tulsa,Oklahoma,74104
21,Clear,2016-01-02 03:53:00,23.0,,-,81,N/A,30.50,28.0,,9:53 PM,10.0,Calm,Calm,0,Tulsa,Oklahoma,74104
22,Clear,2016-01-02 04:53:00,23.0,,-,85,N/A,30.50,27.0,,10:53 PM,10.0,Calm,Calm,0,Tulsa,Oklahoma,74104
23,Clear,2016-01-02 05:53:00,23.0,,-,88,N/A,30.49,26.1,,11:53 PM,10.0,Calm,Calm,0,Tulsa,Oklahoma,74104
0,Clear,2016-01-02 06:53:00,23.0,,-,88,N/A,30.48,26.1,,12:53 AM,10.0,Calm,Calm,0,Tulsa,Oklahoma,74104
1,Clear,2016-01-02 07:53:00,23.0,,-,92,N/A,30.46,25.0,,1:53 AM,10.0,Calm,Calm,0,Tulsa,Oklahoma,74104
2,Clear,2016-01-02 08:53:00,21.9,,-,88,N/A,30.45,25.0,,2:53 AM,10.0,Calm,Calm,0,Tulsa,Oklahoma,74104
3,Clear,2016-01-02 09:53:00,21.0,,-,88,N/A,30.44,24.1,,3:53 AM,10.0,Calm,Calm,0,Tulsa,Oklahoma,74104
4,Clear,2016-01-02 10:53:00,21.9,,-,91,N/A,30.43,24.1,,4:53 AM,10.0,Calm,Calm,0,Tulsa,Oklahoma,74104
