,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeEDT,TimeEST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
0,Overcast,2016-01-01 05:52:00,32.0,,-,63,N/A,30.16,44.1,,12:52 AM,10.0,NNW,8.1,340,Washington,District of Columbia,20001
1,Mostly Cloudy,2016-01-01 06:52:00,32.0,,-,67,N/A,30.15,42.1,,1:52 AM,10.0,North,6.9,350,Washington,District of Columbia,20001
2,Mostly Cloudy,2016-01-01 07:52:00,32.0,,-,67,N/A,30.16,42.1,,2:52 AM,10.0,NNW,8.1,340,Washington,District of Columbia,20001
3,Mostly Cloudy,2016-01-01 08:52:00,30.0,,-,62,N/A,30.14,42.1,,3:52 AM,10.0,NW,6.9,320,Washington,District of Columbia,20001
4,Overcast,2016-01-01 09:52:00,30.0,,-,62,N/A,30.14,42.1,,4:52 AM,10.0,NW,8.1,320,Washington,District of Columbia,20001
5,Overcast,2016-01-01 10:52:00,28.9,,-,60,N/A,30.14,42.1,,5:52 AM,10.0,NW,10.4,320,Washington,District of Columbia,20001
6,Overcast,2016-01-01 11:52:00,28.0,,-,60,N/A,30.15,41.0,,6:52 AM,10.0,NNW,6.9,330,Washington,District of Columbia,20001
7,Overcast,2016-01-01 12:52:00,28.9,,-,62,N/A,30.15,41.0,,7:52 AM,10.0,NNW,9.2,330,Washington,District of Columbia,20001
8,Overcast,2016-01-01 13:52:00,28.9,,-,62,N/A,30.17,41.0,,8:52 AM,10.0,NW,6.9,320,Washington,District of Columbia,20001
9,Overcast,2016-01-01 14:52:00,30.0,,-,62,N/A,30.17,42.1,,9:52 AM,10.0,NNW,10.4,330,Washington,District of Columbia,20001
10,Overcast,2016-01-01 15:52:00,30.0,,-,58,N/A,30.17,44.1,,10:52 AM,10.0,WNW,9.2,300,Washington,District of Columbia,20001
11,Overcast,2016-01-01 16:52:00,30.0,,-,56,N/A,30.13,45.0,,11:52 AM,10.0,WNW,8.1,300,Washington,District of Columbia,20001
12,Overcast,2016-01-01 17:52:00,30.9,,-,56,N/A,30.11,46.0,,12:52 PM,10.0,WNW,12.7,300,Washington,District of Columbia,20001
13,Overcast,2016-01-01 18:52:00,30.0,,-,56,N/A,30.09,45.0,,1:52 PM,10.0,WNW,11.5,300,Washington,District of Columbia,20001
14,Overcast,2016-01-01 19:52:00,30.0,,-,56,N/A,30.09,45.0,,2:52 PM,10.0,NW,6.9,310,Washington,District of Columbia,20001
15,Overcast,2016-01-01 20:52:00,28.0,,-,53,N/A,30.08,44.1,,3:52 PM,10.0,WNW,6.9,300,Washington,District of Columbia,20001
