,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeCDT,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees
0,Clear,2016-09-30 05:53:00,48.9,,-,77,N/A,30.28,55.9,12:53 AM,10.0,NNE,4.6,20
1,Clear,2016-09-30 06:53:00,48.9,,-,86,N/A,30.27,53.1,1:53 AM,10.0,Calm,Calm,0
2,Clear,2016-09-30 07:53:00,48.0,,-,86,N/A,30.27,52.0,2:53 AM,10.0,Calm,Calm,0
3,Clear,2016-09-30 08:53:00,48.0,,-,89,N/A,30.25,51.1,3:53 AM,10.0,Calm,Calm,0
4,Clear,2016-09-30 09:53:00,46.9,,-,89,N/A,30.25,50.0,4:53 AM,10.0,Calm,Calm,0
5,Clear,2016-09-30 10:53:00,46.9,,-,89,N/A,30.25,50.0,5:53 AM,10.0,Calm,Calm,0
6,Clear,2016-09-30 11:53:00,46.9,,-,93,N/A,30.27,48.9,6:53 AM,10.0,Calm,Calm,0
7,Clear,2016-09-30 12:53:00,48.9,,-,92,N/A,30.28,51.1,7:53 AM,10.0,NW,3.5,310
8,Clear,2016-09-30 13:53:00,52.0,,-,75,N/A,30.27,60.1,8:53 AM,10.0,Calm,Calm,0
9,Clear,2016-09-30 14:53:00,51.1,,-,61,N/A,30.27,64.9,9:53 AM,10.0,NE,5.8,40
10,Clear,2016-09-30 15:53:00,50.0,,-,49,N/A,30.26,70.0,10:53 AM,10.0,North,3.5,10
11,Clear,2016-09-30 16:53:00,48.9,,-,42,N/A,30.24,73.0,11:53 AM,10.0,ENE,6.9,60
12,Clear,2016-09-30 17:53:00,48.0,,-,38,N/A,30.22,75.0,12:53 PM,10.0,NNE,8.1,20
13,Clear,2016-09-30 18:53:00,48.0,,-,36,N/A,30.19,77.0,1:53 PM,10.0,Variable,5.8,0
14,Clear,2016-09-30 19:53:00,48.0,,-,35,N/A,30.16,78.1,2:53 PM,10.0,Variable,5.8,0
15,Clear,2016-09-30 20:53:00,46.9,,-,32,N/A,30.13,79.0,3:53 PM,10.0,NE,8.1,40
16,Clear,2016-09-30 21:53:00,46.0,,-,32,N/A,30.12,78.1,4:53 PM,10.0,Calm,Calm,0
17,Clear,2016-09-30 22:53:00,48.0,,-,37,N/A,30.12,75.9,5:53 PM,10.0,NNE,3.5,20
18,Clear,2016-09-30 23:53:00,54.0,,-,65,N/A,30.12,66.0,6:53 PM,10.0,Calm,Calm,0
19,Clear,2016-10-01 00:53:00,52.0,,-,67,N/A,30.12,63.0,7:53 PM,10.0,Calm,Calm,0
20,Clear,2016-10-01 01:53:00,52.0,,-,78,N/A,30.12,59.0,8:53 PM,10.0,Calm,Calm,0
21,Clear,2016-10-01 02:53:00,52.0,,-,81,N/A,30.12,57.9,9:53 PM,10.0,Calm,Calm,0
22,Clear,2016-10-01 03:53:00,53.1,,-,87,N/A,30.12,57.0,10:53 PM,10.0,Calm,Calm,0
23,Clear,2016-10-01 04:53:00,53.1,,-,90,N/A,30.13,55.9,11:53 PM,10.0,Calm,Calm,0
24,Clear,2016-10-01 05:53:00,52.0,,-,93,N/A,30.12,54.0,12:53 AM,10.0,Calm,Calm,0
25,Clear,2016-10-01 06:53:00,51.1,,-,93,N/A,30.13,53.1,1:53 AM,10.0,Calm,Calm,0
26,Clear,2016-10-01 07:53:00,51.1,,-,93,N/A,30.13,53.1,2:53 AM,9.0,Calm,Calm,0
27,Clear,2016-10-01 08:53:00,50.0,,-,96,N/A,30.13,51.1,3:53 AM,8.0,Calm,Calm,0
28,Clear,2016-10-01 09:44:00,48.9,,-,92,N/A,30.11,51.1,4:44 AM,2.0,Calm,Calm,0
29,Clear,2016-10-01 09:53:00,48.9,,-,92,N/A,30.13,51.1,4:53 AM,9.0,Calm,Calm,0
